raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/train/entropy_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/learning_rate,raw/gen/train/loss,raw/gen/train/value_loss,raw/gen/train/clip_range,raw/gen/train/approx_kl,raw/gen/train/explained_variance,raw/gen/train/n_updates
-228.6068041272727,1,419,4,1000.0,55296,-8.118726807832719,421.89519123598177,0.192919921875,-0.03234540441771969,0.9351150393486023,0.0003,5.228918552398682,7.232714799791575,0.2,0.014090767,-5.125999450683594e-06,260
-227.83901049122807,1,410,4,1000.0,57344,-8.079861122369767,413.36359557232566,0.20693359375,-0.028692326511372813,0.9293700456619263,0.0003,2.6969361305236816,5.135683284141123,0.2,0.018142372,0.01734471321105957,270
-222.66890569491525,1,417,4,1000.0,59392,-8.052615961432457,405.07835076285704,0.170849609375,-0.023960400007490536,0.9259928464889526,0.0003,2.58056378364563,5.0455439910292625,0.2,0.013736623,0.14358991384506226,280
-219.38469029508198,1,431,4,1000.0,61440,-8.031791493296623,397.72236185113235,0.120947265625,-0.023079921773751268,0.9222625494003296,0.0003,0.7461479306221008,4.934447234496474,0.2,0.010803308,0.5511382818222046,290
-218.7182325873016,1,438,4,1000.0,63488,-7.9979236871004105,389.4577721580214,0.1759765625,-0.027736566099338233,0.9159755706787109,0.0003,1.0960577726364136,3.516874197870493,0.2,0.01469845,0.6535543203353882,300
-216.29680433846156,1,434,4,1000.0,65536,-7.956200030446053,380.8121225841155,0.20048828125,-0.028512012906139715,0.9089309573173523,0.0003,1.448502779006958,2.2599787689745425,0.2,0.016418856,0.8509139120578766,310
-214.9206735671642,1,442,4,1000.0,67584,-7.901511259377003,372.7184371460677,0.19189453125,-0.029785727518901694,0.9004712104797363,0.0003,1.7802660465240479,1.8162738632410764,0.2,0.016169459,0.8523226380348206,320
-214.03552979710147,1,439,4,1000.0,69632,-7.86282743960619,364.4917601075765,0.153955078125,-0.02255825499887578,0.8964454531669617,0.0003,0.4812186360359192,1.6286309204064309,0.2,0.012972355,0.8953093141317368,330
-212.24189923943663,1,437,4,1000.0,71680,-7.836692549288273,356.5247863454085,0.172705078125,-0.022927334607811645,0.8929144740104675,0.0003,0.30672407150268555,2.1643912134692074,0.2,0.016762,0.9019311964511871,340
-210.80799789041092,1,420,4,1000.0,73728,-7.799646969139576,349.6208647313318,0.168115234375,-0.025488814982236364,0.8865403532981873,0.0003,0.25644391775131226,1.678044695733115,0.2,0.016341735,0.9258921816945076,350
-208.66933967999998,1,414,4,1000.0,75776,-7.7639357015490535,342.5688244999938,0.12890625,-0.022114299633540214,0.8822077512741089,0.0003,0.5027672052383423,1.4494951037690043,0.2,0.011869658,0.946255087852478,360
-206.47236133766233,1,418,4,1000.0,77824,-7.720743368566036,336.5327823555392,0.145947265625,-0.022868175941403023,0.8737025260925293,0.0003,0.6199724674224854,2.521869919123128,0.2,0.016756818,0.951326597481966,370
