mean/disc/disc_acc_expert,mean/gen/train/learning_rate,mean/gen/train/critic_loss,mean/disc/disc_acc_gen,mean/gen/train/n_updates,mean/disc/n_expert,mean/disc/global_step,mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_true,mean/disc/disc_loss,mean/gen/train/actor_loss,mean/gen/rollout/ep_rew_wrapped_mean,mean/gen/time/time_elapsed,mean/gen/time/total_timesteps,mean/gen/rollout/ep_len_mean,mean/gen/rollout/ep_rew_mean,mean/gen/time/episodes,mean/gen/time/fps
0.831298828125,0.001,0.017514917217456967,0.05078125,1000.0,1024.0,1.0,0.4410400390625,1024.0,0.8902587890625,0.6922428607940674,0.5,0.6972149312496185,-3.686634963929653,,,,,,,
0.947021484375,0.001,0.13616114287078382,0.156982421875,2000.0,1024.0,2.0,0.552001953125,1024.0,0.89501953125,0.6922958195209503,0.5,0.6776332259178162,-10.709536227226257,671.2277627587318,,,,,,
0.97314453125,0.001,0.46299824223760516,0.556884765625,3000.0,1024.0,3.0,0.7650146484375,1024.0,0.7081298828125,0.6920657604932785,0.5,0.6664582937955856,-18.52509761428833,693.9464161992073,,,,,,
0.9775390625,0.001,0.623820630479604,0.615234375,4000.0,1024.0,4.0,0.79638671875,1024.0,0.68115234375,0.691298246383667,0.5,0.652386799454689,-19.7700704870224,705.4838267962137,1.0,4000.0,1000.0,46.84018375,4.0,741.0
0.982666015625,0.001,1.369979022603482,0.96142578125,5000.0,1024.0,5.0,0.9720458984375,1024.0,0.5106201171875,0.6905084252357483,0.5,0.6368510127067566,-27.535657764434813,709.97641043365,,,,,,
0.98095703125,0.001,3.2706105494499207,0.596435546875,6000.0,1024.0,6.0,0.7886962890625,1024.0,0.6922607421875,0.6888145953416824,0.5,0.6306251138448715,-43.02684614944458,702.48252825737,,,,,,
0.978759765625,0.001,6.445306478977203,0.750732421875,7000.0,1024.0,7.0,0.86474609375,1024.0,0.614013671875,0.6866766512393951,0.5,0.6117757558822632,-58.8331736869812,706.0363180438677,,,,,,
0.96435546875,0.001,10.35810885387659,0.995361328125,8000.0,1024.0,8.0,0.9798583984375,1024.0,0.4844970703125,0.6821612119674683,0.5,0.5746042281389236,-77.87448963928223,692.4496660275119,1.0,8000.0,1000.0,89.623889125,8.0,756.0
0.965087890625,0.001,13.942629594981671,0.99755859375,9000.0,1024.0,9.0,0.9813232421875,1024.0,0.4837646484375,0.6782190501689911,0.5,0.5505782663822174,-99.1671280670166,684.3900367803872,,,,,,
0.95849609375,0.001,22.004444534778596,0.998291015625,10000.0,1024.0,10.0,0.9783935546875,1024.0,0.4801025390625,0.6685038506984711,0.5,0.5140001177787781,-115.61993095397949,670.4047661059433,,,,,,
0.961669921875,0.001,20.958264419555665,0.998779296875,11000.0,1024.0,11.0,0.980224609375,1024.0,0.4814453125,0.6615098565816879,0.5,0.49405625462532043,-130.59524685668944,656.165714019537,,,,,,
0.96337890625,0.001,31.418061524629593,1.0,12000.0,1024.0,12.0,0.981689453125,1024.0,0.481689453125,0.6513093858957291,0.5,0.461560882627964,-147.1523249130249,644.7875448004766,1.0,12000.0,1000.0,42.111027416666666,12.0,731.0
0.963623046875,0.001,73.11165161800385,0.947998046875,13000.0,1024.0,13.0,0.955810546875,1024.0,0.5078125,0.6314617991447449,0.5,0.4317328706383705,-196.21113592529298,631.0123415738344,,,,,,
0.9658203125,0.001,91.81862675428391,0.96923828125,14000.0,1024.0,14.0,0.967529296875,1024.0,0.498291015625,0.6225491911172867,0.5,0.4287922829389572,-252.93007122802734,620.2930652567974,,,,,,
0.96533203125,0.001,100.26339049720764,0.996337890625,15000.0,1024.0,15.0,0.9808349609375,1024.0,0.4844970703125,0.6184593588113785,0.5,0.41001100838184357,-292.1719655761719,616.8966775706837,,,,,,
0.956298828125,0.001,112.96268963241577,0.99365234375,16000.0,1024.0,16.0,0.9749755859375,1024.0,0.4813232421875,0.5695695281028748,0.5,0.3374435156583786,-316.0059553527832,611.0970973412196,1.0,16000.0,1000.0,31.71420725,16.0,755.0
0.961669921875,0.001,156.5681573753357,0.99462890625,17000.0,1024.0,17.0,0.9781494140625,1024.0,0.4835205078125,0.5143666490912437,0.5,0.2798168212175369,-345.828094909668,592.424046551343,,,,,,
0.967041015625,0.001,179.53001391506194,0.99853515625,18000.0,1024.0,18.0,0.9827880859375,1024.0,0.4842529296875,0.4304566904902458,0.5,0.2067970111966133,-379.36295040893555,575.0571218016831,,,,,,
0.972412109375,0.001,182.37165872192384,1.0,19000.0,1024.0,19.0,0.9862060546875,1024.0,0.4862060546875,0.35933321714401245,0.5,0.15508677437901497,-400.2612617797852,548.9902132612964,,,,,,
0.98388671875,0.001,177.2650789270401,0.99755859375,20000.0,1024.0,20.0,0.99072265625,1024.0,0.4931640625,0.3132684603333473,0.5,0.12558664567768574,-424.2477434387207,525.3443020790031,1.0,20000.0,1000.0,23.29788795,20.0,735.0
0.989990234375,0.001,257.146540063858,0.995849609375,21000.0,1024.0,21.0,0.992919921875,1024.0,0.4970703125,0.28185081481933594,0.5,0.10902168974280357,-443.2628981628418,502.6623780539259,,,,,,
0.995849609375,0.001,212.12622516441346,0.992431640625,22000.0,1024.0,22.0,0.994140625,1024.0,0.501708984375,0.2830754742026329,0.5,0.10728104785084724,-456.86561471557616,482.7036192919172,,,,,,
