Evaluate/discounted_episode_lengths,Evaluate/discounted_episode_returns,Evaluate/episode_lengths,Evaluate/episode_returns,Evaluate/iter,TRPO/cg_residual,TRPO/dist_mean,TRPO/dist_std,TRPO/fps,TRPO/grad_norm,TRPO/iter,TRPO/mse_loss,TRPO/nat_grad_norm,TRPO/reward,TRPO/step_size,TRPO/vf_loss,Discriminator/fake_logits,Discriminator/fake_prob,Discriminator/grad_norm,Discriminator/grad_penalty,Discriminator/iter,Discriminator/loss,Discriminator/regularization,Discriminator/true_logits,Discriminator/true_prob
86,68.43234340595932,87,70.43258039185513,0,,,,,,,,,,,,,,,,,,,,
,,,,,3.9883544e-06,6.106365e-05,1.0,15,0.36806953,1000,0.43525648,0.5165726,-6.66653795633465e-09,0.3969108711603689,0.20101778,,,,,,,,,
,,,,,2.1398699e-05,-0.013571109,1.0049771,12,0.41370675,2000,0.45002225,0.5293571,1.193871139548719e-08,0.3510023306923366,0.23671976,,,,,,,,,
,,,,,2.7619408e-05,-0.03468164,1.0002941,10,0.40211403,3000,0.47772488,0.55226886,1.5773519407957794e-08,0.3446326344400658,0.27478513,,,,,,,,,
,,,,,4.4318476e-05,-0.057117768,0.9992111,8,0.4846871,4000,0.50192565,0.5267794,-8.187149433069862e-09,0.34023634806562564,0.31715468,,,,,,,,,
,,,,,5.7098114e-05,-0.07312787,0.9978379,7,0.43642384,5000,0.53513676,0.49394703,6.692583156109322e-09,0.36584305266968026,0.24351193,,,,,,,,,
,,,,,,,,,,,,,,,,-0.353828,0.4134576,12.517793,1.4681594,5000,1.0944811,0.0,0.019850576,0.50507176
14,-0.5516278176349731,14,-0.5671163800400418,5000,,,,,,,,,,,,,,,,,,,,
,,,,,0.00012804515,-0.09061582,0.9921043,43,0.40367165,6000,0.57073444,0.55821186,-1.8243968952447174e-08,0.3564095986009082,0.24334882,,,,,,,,,
,,,,,0.00014747966,-0.09709407,0.98806006,24,0.52614963,7000,0.60258365,0.5300456,-2.375534677412361e-09,0.3185774621502633,0.21579032,,,,,,,,,
