Evaluate/discounted_episode_lengths,Evaluate/discounted_episode_returns,Evaluate/episode_lengths,Evaluate/episode_returns,Evaluate/iter,TRPO/cg_residual,TRPO/dist_mean,TRPO/dist_std,TRPO/fps,TRPO/grad_norm,TRPO/iter,TRPO/mse_loss,TRPO/nat_grad_norm,TRPO/reward,TRPO/step_size,TRPO/vf_loss,Discriminator/fake_logits,Discriminator/fake_prob,Discriminator/grad_norm,Discriminator/grad_penalty,Discriminator/iter,Discriminator/loss,Discriminator/regularization,Discriminator/true_logits,Discriminator/true_prob
192,182.41657429104197,229,240.16146720465002,0,,,,,,,,,,,,,,,,,,,,
,,,,,5.0207666e-07,-2.3574863e-05,1.0,29,0.26914355,1000,0.31887192,0.33667728,1.8859835108742118e-08,0.52546363641227,0.35738608,,,,,,,,,
,,,,,3.7368384e-06,-0.04178573,0.9918894,24,0.3808713,2000,0.32778776,0.36587915,-8.065335350693204e-09,0.4041409445820873,0.26403877,,,,,,,,,
,,,,,3.5973057e-06,-0.08490541,0.9892259,21,0.43196878,3000,0.35238412,0.37706116,-2.6848814741242676e-08,0.370309997904988,0.41468495,,,,,,,,,
,,,,,1.17365635e-05,-0.113512136,0.9857432,18,0.52388453,4000,0.37332535,0.39550948,2.9664195608347655e-08,0.3331515984919022,0.32784003,,,,,,,,,
,,,,,8.51329e-06,-0.15496074,0.98537177,16,0.5997485,5000,0.4267435,0.39957315,3.27807356370613e-10,0.31471895925099275,0.16771048,,,,,,,,,
,,,,,,,,,,,,,,,,0.2766284,0.56814677,14.14501,1.6639558,5000,1.8032948,0.0,0.1372896,0.5341731
8,6.365842745051986,8,6.389195599598867,5000,,,,,,,,,,,,,,,,,,,,
,,,,,9.439747e-06,-0.18857357,0.9808224,140,0.6918552,6000,0.47637728,0.49450123,-1.3996672350913287e-08,0.2684375420362479,0.15383735,,,,,,,,,
,,,,,2.8723878e-05,-0.20400761,0.97837454,73,0.6576233,7000,0.5054597,0.45556772,-1.2248667189851403e-08,0.2907656749956472,0.122364074,,,,,,,,,
,,,,,8.150707e-06,-0.21185458,0.96863234,49,0.6526821,8000,0.6054525,0.48509806,-3.942393232136965e-08,0.2902307022900111,0.09407228,,,,,,,,,
,,,,,8.497016e-06,-0.22746244,0.96625084,36,0.6642646,9000,0.55891615,0.37955695,1.3693133951164782e-08,0.31558639243405656,0.04330899,,,,,,,,,
,,,,,3.0914245e-05,-0.2371475,0.95231223,29,0.9271307,10000,0.687172,0.5173616,4.637637175619603e-09,0.2397100283993483,0.06968147,,,,,,,,,
,,,,,,,,,,,,,,,,0.001622491,0.5003658,10.230735,0.93031406,10000,0.75267756,0.0,0.17925912,0.54442674
7,5.16192847994417,7,5.184432813022587,10000,,,,,,,,,,,,,,,,,,,,
,,,,,2.6887785e-05,-0.24166988,0.94325924,128,0.49365628,11000,0.65675396,0.45671076,5.8236881159245965e-08,0.3914832922738749,0.07652097,,,,,,,,,
,,,,,2.640603e-05,-0.1845574,0.94881815,69,0.80813533,12000,0.76777315,0.43696138,-4.547240678220987e-09,0.2797767704672546,0.08015278,,,,,,,,,
,,,,,2.5053321e-05,-0.10869889,0.9543611,47,0.8455782,13000,0.7624077,0.44286644,1.2410942417773186e-08,0.26987180926719967,0.19436309,,,,,,,,,
,,,,,6.676667e-05,-0.026173301,0.9598346,36,0.9174708,14000,0.7240712,0.40376335,1.1145668395329266e-08,0.2737372470400622,0.14985627,,,,,,,,,
,,,,,6.896812e-05,0.06502997,0.96964765,29,0.70951277,15000,0.77334803,0.3949277,2.7195303118787706e-08,0.34532514122810554,0.34184396,,,,,,,,,
,,,,,,,,,,,,,,,,-0.36794505,0.40979353,9.362146,0.8053282,15000,0.2674736,0.0,0.16990954,0.54212457
8,6.928385595286526,8,7.010805384798816,15000,,,,,,,,,,,,,,,,,,,,
,,,,,0.000232318,0.1152236,0.9730545,135,0.6561078,16000,0.75490206,0.4857172,2.5882938643917442e-08,0.34954143460797743,0.7711304,,,,,,,,,
,,,,,0.00022216809,0.20291355,0.9789429,71,0.9063859,17000,0.6662714,0.44596946,-5.622394382953644e-09,0.32262500441895026,1.0896052,,,,,,,,,
,,,,,0.00013771698,0.29485002,0.97947663,49,0.6880051,18000,0.6355392,0.34130886,-2.694117574719712e-08,0.4171336408807468,1.157284,,,,,,,,,
,,,,,0.00025524243,0.3942965,0.97691643,37,0.6215261,19000,0.6086684,0.41475946,-7.642200216650963e-09,0.4251639513810935,0.90798277,,,,,,,,,
,,,,,0.00046384116,0.45201924,0.9696193,30,0.547774,20000,0.6331056,0.4193149,2.792952727759257e-09,0.4512969676235681,0.6546402,,,,,,,,,
,,,,,,,,,,,,,,,,-0.42440072,0.39914486,7.641782,0.72023386,20000,0.1251484,0.0,0.17068465,0.5422741
26,42.452975784301785,26,42.86828629149147,20000,,,,,,,,,,,,,,,,,,,,
,,,,,0.00040723532,0.5381653,0.96722066,116,0.5099264,21000,0.64789885,0.40484017,4.710760549642146e-09,0.5050340115798391,0.5597648,,,,,,,,,
,,,,,0.0009589848,0.5405119,0.9655771,66,0.44333324,22000,0.58431953,0.4362954,6.701520760543644e-09,0.5128614190870947,0.61434656,,,,,,,,,
,,,,,0.00039639176,0.58987653,0.9749225,46,0.3414076,23000,0.6219346,0.46091843,7.3192932177335025e-09,0.5209782563563679,0.8409678,,,,,,,,,
,,,,,0.00037210376,0.6496393,0.97122097,35,0.5477752,24000,0.6610453,0.4454591,8.223214535973967e-09,0.4365016258810132,0.9661807,,,,,,,,,
,,,,,0.00029250904,0.66111135,0.9753096,29,0.37666592,25000,0.66434133,0.4377056,-2.3014908947516233e-09,0.48349919497603566,0.55311847,,,,,,,,,
,,,,,,,,,,,,,,,,-0.5286612,0.37613955,7.043211,0.58634347,25000,-0.10212382,0.0,0.15980603,0.5397736
44,78.5131797736864,44,80.32129857954892,25000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0002573856,0.69146353,0.9675622,95,0.57120883,26000,0.7138584,0.46343282,3.1838426366448403e-09,0.42995014782583224,0.74304503,,,,,,,,,
,,,,,0.0003257315,0.71390504,0.9620145,59,0.3468957,27000,0.78569084,0.47035342,-8.196226531254069e-09,0.4709097732297193,0.4375921,,,,,,,,,
,,,,,0.00036714386,0.71706,0.9599062,43,0.2974904,28000,0.70547754,0.43822944,1.938409695867449e-08,0.5347534182997815,0.47371763,,,,,,,,,
,,,,,0.00074978825,0.6847568,0.95876974,34,0.5436703,29000,0.6516042,0.41155672,3.982975613325835e-09,0.49767764229400246,0.3498473,,,,,,,,,
,,,,,0.00064124947,0.6475023,0.95429564,28,0.40418762,30000,0.7286973,0.417771,2.5258050300180912e-09,0.5597741062152324,0.87865865,,,,,,,,,
,,,,,,,,,,,,,,,,-0.559425,0.3689932,7.441103,0.51010954,30000,-0.21723188,0.0,0.16791645,0.54180145
84,164.55414820306268,84,171.23794742999934,30000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0015078852,0.60719573,0.95593774,73,0.50066614,31000,0.7204695,0.5462026,9.290233720093965e-10,0.4407520527126307,0.85045874,,,,,,,,,
,,,,,0.0011008421,0.5523681,0.95093787,48,0.4587391,32000,0.8649211,0.4023249,-3.0005379812791946e-08,0.585069933168121,0.55820566,,,,,,,,,
,,,,,0.0029732902,0.5439827,0.94675463,37,0.50222945,33000,0.95063394,0.349622,4.557444481179118e-08,0.6141848091073119,0.31670856,,,,,,,,,
