mean/disc/n_generated,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc,mean/gen/train/actor_loss,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/n_expert,mean/gen/train/critic_loss,mean/gen/train/n_updates,mean/gen/train/learning_rate,mean/disc/disc_entropy,mean/disc/global_step,mean/disc/disc_proportion_expert_pred,mean/gen/rollout/ep_rew_wrapped_mean,mean/gen/time/time_elapsed,mean/gen/rollout/ep_len_mean,mean/gen/time/fps,mean/gen/time/total_timesteps,mean/gen/rollout/ep_rew_mean,mean/gen/time/episodes
1024.0,0.0048828125,0.5,0.4998779296875,-3.3636506099998953,0.7097221314907074,0.994873046875,1024.0,0.013668972204497549,1000.0,0.001,0.6879727244377136,1.0,0.0050048828125,,,,,,,
1024.0,0.083984375,0.5,0.53564453125,-9.798943335533142,0.6860550791025162,0.9873046875,1024.0,0.10201353477803059,2000.0,0.001,0.6899902522563934,2.0,0.04833984375,609.6126880347729,,,,,,
1024.0,0.315185546875,0.5,0.65283203125,-15.495317217826843,0.6726800799369812,0.990478515625,1024.0,0.40445495369844137,3000.0,0.001,0.6913727670907974,3.0,0.162353515625,614.4153994470835,,,,,,
1024.0,0.570556640625,0.5,0.7813720703125,-17.72576589870453,0.6610575467348099,0.9921875,1024.0,0.43223821169510485,4000.0,0.001,0.6916415393352509,4.0,0.2891845703125,627.7271540860335,1.0,1000.0,766.0,4000.0,-25.040156999999994,4.0
1024.0,0.7880859375,0.5,0.888916015625,-19.816311992645264,0.6382527500391006,0.98974609375,1024.0,0.4307434337642044,5000.0,0.001,0.6903367638587952,5.0,0.399169921875,633.7344936206937,,,,,,
1024.0,0.883056640625,0.5,0.9364013671875,-21.435854850769044,0.6098606884479523,0.98974609375,1024.0,0.5218432699255645,6000.0,0.001,0.6875122785568237,6.0,0.4466552734375,635.3763454735279,,,,,,
1024.0,0.920654296875,0.5,0.9556884765625,-23.04566223335266,0.5795962512493134,0.99072265625,1024.0,0.5440634508822113,7000.0,0.001,0.6830362379550934,7.0,0.4649658203125,632.9768524219593,,,,,,
1024.0,0.936279296875,0.5,0.9658203125,-25.032812604904176,0.5446792542934418,0.995361328125,1024.0,0.6574009991511702,8000.0,0.001,0.6756880581378937,8.0,0.470458984375,628.1428124351161,1.0,1000.0,768.0,8000.0,-23.842000125,8.0
1024.0,0.943115234375,0.5,0.97021484375,-26.86439161491394,0.5064625442028046,0.997314453125,1024.0,0.7787128059267998,9000.0,0.001,0.6646072566509247,9.0,0.472900390625,621.4834291897714,,,,,,
1024.0,0.9501953125,0.5,0.9730224609375,-28.61210795402527,0.46815141290426254,0.995849609375,1024.0,0.8148005820531398,10000.0,0.001,0.6502220630645752,10.0,0.4771728515625,613.4277740418911,,,,,,
1024.0,0.9599609375,0.5,0.979736328125,-30.10215792274475,0.4288196787238121,0.99951171875,1024.0,0.9081807608650997,11000.0,0.001,0.6321092844009399,11.0,0.480224609375,604.2293350487947,,,,,,
1024.0,0.96435546875,0.5,0.982177734375,-31.21955429458618,0.3862775191664696,1.0,1024.0,0.9191797851268202,12000.0,0.001,0.6068943738937378,12.0,0.482177734375,593.8658654500138,1.0,1000.0,766.0,12000.0,-22.151284,12.0
1024.0,0.9794921875,0.5,0.98974609375,-32.472187734603885,0.3398953378200531,1.0,1024.0,1.319083411447704,13000.0,0.001,0.5757727921009064,13.0,0.48974609375,582.4371397222081,,,,,,
1024.0,0.984375,0.5,0.9921875,-33.59170771217346,0.30041512101888657,1.0,1024.0,1.3007103035198524,14000.0,0.001,0.5431593209505081,14.0,0.4921875,569.6988625939076,,,,,,
1024.0,0.990234375,0.5,0.9951171875,-34.537968257904055,0.2601486071944237,1.0,1024.0,1.3129157094135882,15000.0,0.001,0.5040743350982666,15.0,0.4951171875,555.7528036939246,,,,,,
1024.0,0.995849609375,0.5,0.9979248046875,-35.51139296340942,0.2210831120610237,1.0,1024.0,1.4890713465306908,16000.0,0.001,0.46273063123226166,16.0,0.4979248046875,540.7616822858652,1.0,1000.0,770.0,16000.0,-21.968230749999996,16.0
1024.0,0.9990234375,0.5,0.99951171875,-36.26545713043213,0.18498194590210915,1.0,1024.0,1.3960023454595356,17000.0,0.001,0.4186747148633003,17.0,0.49951171875,524.967830715701,,,,,,
1024.0,0.9990234375,0.5,0.99951171875,-36.95485328292847,0.15549271926283836,1.0,1024.0,1.4580720702148975,18000.0,0.001,0.37768976390361786,18.0,0.49951171875,508.6665199618129,,,,,,
1024.0,1.0,0.5,1.0,-37.57744900131225,0.1273885015398264,1.0,1024.0,1.752756251938641,19000.0,0.001,0.3343798965215683,19.0,0.5,492.03042115022737,,,,,,
1024.0,0.99951171875,0.5,0.999755859375,-38.026258438110354,0.10457814857363701,1.0,1024.0,1.400461400313303,20000.0,0.001,0.29445741325616837,20.0,0.499755859375,475.29199754211464,1.0,1000.0,762.0,20000.0,-21.560388749999998,20.0
1024.0,1.0,0.5,1.0,-38.195154273986816,0.08585895411670208,1.0,1024.0,1.6109166682064533,21000.0,0.001,0.2579878829419613,21.0,0.5,458.69456395693123,,,,,,
1024.0,1.0,0.5,1.0,-38.20605355834961,0.07023091614246368,1.0,1024.0,1.738912958241999,22000.0,0.001,0.22497663274407387,22.0,0.5,442.448590098215,,,,,,
1024.0,1.0,0.5,1.0,-38.14694874954223,0.058238170109689236,1.0,1024.0,1.6300844185762107,23000.0,0.001,0.19736070930957794,23.0,0.5,426.71424599059605,,,,,,
