mean/disc/n_generated,mean/disc/disc_acc,mean/disc/disc_entropy,mean/disc/global_step,mean/gen/train/actor_loss,mean/disc/disc_proportion_expert_pred,mean/gen/train/n_updates,mean/gen/train/critic_loss,mean/disc/n_expert,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc_expert,mean/disc/disc_acc_gen,mean/gen/train/learning_rate,mean/disc/disc_loss,mean/gen/rollout/ep_rew_wrapped_mean,mean/gen/time/episodes,mean/gen/time/fps,mean/gen/time/total_timesteps,mean/gen/time/time_elapsed
1024.0,0.5003662109375,0.6875200420618057,1.0,-4.068095440983773,0.9996337890625,1000.0,0.011434513316722586,1024.0,0.5,1.0,0.000732421875,0.001,0.6966475397348404,,,,,
1024.0,0.500732421875,0.6880468428134918,2.0,-9.787519858360291,0.999267578125,2000.0,0.047363305823877454,1024.0,0.5,1.0,0.00146484375,0.001,0.6850198656320572,811.4405681490898,,,,
1024.0,0.5069580078125,0.6881755292415619,3.0,-17.60732919883728,0.9930419921875,3000.0,0.1365932500474155,1024.0,0.5,1.0,0.013916015625,0.001,0.6710246056318283,809.2692219316959,,,,
1024.0,0.5799560546875,0.688189297914505,4.0,-24.529157375335693,0.9200439453125,4000.0,0.30963824681937696,1024.0,0.5,1.0,0.159912109375,0.001,0.6376553028821945,790.532200217247,4.0,573.0,4000.0,1.0
1024.0,0.7598876953125,0.6859948337078094,5.0,-40.113413110733035,0.7401123046875,5000.0,0.7354170265942812,1024.0,0.5,1.0,0.519775390625,0.001,0.6348978281021118,771.4621771275997,,,,
1024.0,0.5262451171875,0.6847295761108398,6.0,-47.61528801727295,0.9737548828125,6000.0,1.4836283398419619,1024.0,0.5,1.0,0.052490234375,0.001,0.6324008852243423,775.0552821755409,,,,
1024.0,0.892333984375,0.6826270669698715,7.0,-66.32107571792602,0.607421875,7000.0,3.3571942796558143,1024.0,0.5,0.999755859375,0.784912109375,0.001,0.5981567203998566,770.8591425617536,,,,
1024.0,0.99853515625,0.678192064166069,8.0,-107.47819612884521,0.49999999999999994,8000.0,7.184365184128285,1024.0,0.5,0.99853515625,0.99853515625,0.001,0.5678916424512863,760.279370205743,8.0,574.0,8000.0,1.0
1024.0,0.99853515625,0.6726816892623901,9.0,-116.72988088226319,0.498779296875,9000.0,10.888317383110524,1024.0,0.5,0.997314453125,0.999755859375,0.001,0.5398864448070526,748.8587822429836,,,,
1024.0,0.9932861328125,0.6658376455307007,10.0,-108.21681782531738,0.5010986328125,10000.0,10.736468465924263,1024.0,0.5,0.994384765625,0.9921875,0.001,0.518883228302002,735.2690782977475,,,,
1024.0,0.992431640625,0.6532818228006363,11.0,-108.26870329284668,0.494384765625,11000.0,4.844576011806726,1024.0,0.5,0.98681640625,0.998046875,0.001,0.47071556746959686,728.5890132576227,,,,
1024.0,0.9913330078125,0.6324307918548584,12.0,-118.44236022949218,0.4913330078125,12000.0,3.8340198119580746,1024.0,0.5,0.982666015625,1.0,0.001,0.41333696246147156,713.831683983857,12.0,596.0,12000.0,1.0
1024.0,0.991455078125,0.611095666885376,13.0,-136.7594812698364,0.491455078125,13000.0,8.67855494749546,1024.0,0.5,0.98291015625,1.0,0.001,0.37446409463882446,693.3895942817131,,,,
1024.0,0.9908447265625,0.5771107226610184,14.0,-167.69435467529297,0.4913330078125,14000.0,11.463127254068851,1024.0,0.5,0.982177734375,0.99951171875,0.001,0.32457754760980606,674.8109426888136,,,,
1024.0,0.9910888671875,0.5332883596420288,15.0,-189.13893606567382,0.4923095703125,15000.0,11.985613251328468,1024.0,0.5,0.9833984375,0.998779296875,0.001,0.2739257514476776,649.8288276355181,,,,
1024.0,0.9912109375,0.5042036175727844,16.0,-196.49659252929686,0.491943359375,16000.0,10.374339824795722,1024.0,0.5,0.983154296875,0.999267578125,0.001,0.24599843099713326,628.8230542490879,16.0,584.0,16000.0,1.0
1024.0,0.9927978515625,0.4490584656596184,17.0,-204.7898599395752,0.4937744140625,17000.0,11.836603521823884,1024.0,0.5,0.986572265625,0.9990234375,0.001,0.19702188298106194,607.5552336238325,,,,
1024.0,0.9947509765625,0.3998151570558548,18.0,-230.34507597351075,0.4954833984375,18000.0,14.53300879573822,1024.0,0.5,0.990234375,0.999267578125,0.001,0.1645677238702774,584.4609453047024,,,,
1024.0,0.99609375,0.32674888521432877,19.0,-246.3083598022461,0.49609375,19000.0,11.42994873714447,1024.0,0.5,0.9921875,1.0,0.001,0.12077774107456207,564.3164194693995,,,,
1024.0,0.9979248046875,0.26006779074668884,20.0,-259.7710015411377,0.4979248046875,20000.0,15.193004445314408,1024.0,0.5,0.995849609375,1.0,0.001,0.08685901947319508,539.4220128002528,20.0,587.0,20000.0,1.0
1024.0,0.997802734375,0.23410866782069206,21.0,-269.13850006103513,0.497802734375,21000.0,11.290869220733642,1024.0,0.5,0.99560546875,1.0,0.001,0.07609883695840836,517.0057263334281,,,,
1024.0,0.9991455078125,0.20109111070632935,22.0,-274.08460998535156,0.4991455078125,22000.0,9.487015437841416,1024.0,0.5,0.998291015625,1.0,0.001,0.06128981336951256,495.923083708932,,,,
1024.0,0.999755859375,0.16153689846396446,23.0,-278.5133191986084,0.499755859375,23000.0,12.689884191036224,1024.0,0.5,0.99951171875,1.0,0.001,0.04582614824175835,475.9891380637207,,,,
1024.0,1.0,0.13200296834111214,24.0,-293.30066119384765,0.5,24000.0,12.763100425481797,1024.0,0.5,1.0,1.0,0.001,0.03654633741825819,456.77985839553827,24.0,601.0,24000.0,1.0
1024.0,0.99951171875,0.21298452466726303,25.0,-324.4564438171387,0.500244140625,25000.0,18.273289141893386,1024.0,0.5,0.999755859375,0.999267578125,0.001,0.07966874167323112,439.00678420974873,,,,
1024.0,0.9970703125,0.20924550667405128,26.0,-349.62221374511716,0.5029296875,26000.0,24.85898530936241,1024.0,0.5,1.0,0.994140625,0.001,0.07321695238351822,430.9433620994538,,,,
1024.0,0.995849609375,0.12041597068309784,27.0,-364.9966338806152,0.504150390625,27000.0,28.713972433567047,1024.0,0.5,1.0,0.99169921875,0.001,0.037041486240923405,417.37161215446673,,,,
1024.0,0.9964599609375,0.10042680613696575,28.0,-376.6069280090332,0.5035400390625,28000.0,29.00997165966034,1024.0,0.5,1.0,0.992919921875,0.001,0.029402556363493204,403.4207534095255,28.0,597.0,28000.0,1.0
1024.0,0.9984130859375,0.08474858291447163,29.0,-371.0334120178223,0.5015869140625,29000.0,27.001747841358185,1024.0,0.5,1.0,0.996826171875,0.001,0.02309942152351141,390.26786830073354,,,,
1024.0,0.996826171875,0.07083269022405148,30.0,-364.0410729980469,0.503173828125,30000.0,25.629006198883058,1024.0,0.5,1.0,0.99365234375,0.001,0.021583466790616512,377.43698293071816,,,,
1024.0,0.99755859375,0.06545516289770603,31.0,-359.9434011230469,0.50244140625,31000.0,19.70708199071884,1024.0,0.5,1.0,0.9951171875,0.001,0.01896392833441496,365.5920635015471,,,,
1024.0,0.9986572265625,0.05667734984308481,32.0,-351.9276032104492,0.5013427734375,32000.0,17.316681218624115,1024.0,0.5,1.0,0.997314453125,0.001,0.015544868074357511,354.27962707764385,32.0,607.0,32000.0,1.0
1024.0,0.9979248046875,0.04738822299987078,33.0,-341.69526611328126,0.5020751953125,33000.0,15.357999711990356,1024.0,0.5,1.0,0.995849609375,0.001,0.013593652751296759,343.5086900184615,,,,
1024.0,0.99853515625,0.04929080046713352,34.0,-333.4483752441406,0.50146484375,34000.0,13.72062779211998,1024.0,0.5,1.0,0.9970703125,0.001,0.01339627429842949,333.5496696626475,,,,
1024.0,0.99755859375,0.048089075833559036,35.0,-325.8019041748047,0.50244140625,35000.0,12.475719317436218,1024.0,0.5,1.0,0.9951171875,0.001,0.013681579614058137,324.1213752889975,,,,
1024.0,0.9996337890625,0.05052154324948788,36.0,-322.80587045288087,0.5003662109375,36000.0,15.111278888225556,1024.0,0.5,1.0,0.999267578125,0.001,0.012226842809468508,315.15537512972037,36.0,594.0,36000.0,1.0
1024.0,0.9990234375,0.06848309002816677,37.0,-317.9190775756836,0.5009765625,37000.0,16.58230738258362,1024.0,0.5,1.0,0.998046875,0.001,0.01772729540243745,306.849115480508,,,,
1024.0,0.9990234375,0.06111334916204214,38.0,-311.6476656188965,0.5009765625,38000.0,12.625349221229554,1024.0,0.5,1.0,0.998046875,0.001,0.015300717670470476,299.4235269005915,,,,
1024.0,0.9993896484375,0.03705592453479767,39.0,-304.7945386657715,0.5006103515625,39000.0,10.340038343429566,1024.0,0.5,1.0,0.998779296875,0.001,0.008717397460713983,291.76308009201296,,,,
1024.0,0.9996337890625,0.0390160595998168,40.0,-297.8715698547363,0.5003662109375,40000.0,10.069194800138474,1024.0,0.5,1.0,0.999267578125,0.001,0.00923964218236506,284.3796345556232,40.0,592.0,40000.0,1.0
1024.0,0.999755859375,0.03901854436844587,41.0,-288.2896049499512,0.500244140625,41000.0,9.032687626600266,1024.0,0.5,1.0,0.99951171875,0.001,0.008699846919625998,277.5943658414864,,,,
1024.0,0.99951171875,0.03570265416055918,42.0,-280.7048167419434,0.50048828125,42000.0,8.64845664691925,1024.0,0.5,1.0,0.9990234375,0.001,0.007915214519016445,270.989640473249,,,,
1024.0,0.9993896484375,0.03209485299885273,43.0,-273.55985891723634,0.5006103515625,43000.0,8.160261948108673,1024.0,0.5,1.0,0.998779296875,0.001,0.00747052812948823,264.7466054077917,,,,
1024.0,0.9993896484375,0.026643306482583284,44.0,-265.74624519348146,0.5006103515625,44000.0,6.886414921522141,1024.0,0.5,1.0,0.998779296875,0.001,0.006408424815163016,258.7071933440274,44.0,589.0,44000.0,1.0
1024.0,0.996826171875,0.027213192079216242,45.0,-257.06525173950195,0.503173828125,45000.0,6.091612796783448,1024.0,0.5,1.0,0.99365234375,0.001,0.009891147376038134,253.0044034660618,,,,
1024.0,0.9991455078125,0.02563903108239174,46.0,-249.75495304870606,0.5008544921875,46000.0,5.660966498374939,1024.0,0.5,1.0,0.998291015625,0.001,0.006307751638814807,247.57565992293272,,,,
1024.0,0.9979248046875,0.024402262642979622,47.0,-245.5099013671875,0.5020751953125,47000.0,5.299145134925842,1024.0,0.5,1.0,0.995849609375,0.001,0.007512991549447179,242.29395384697463,,,,
