raw/gen/time/total_timesteps,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/critic_loss,raw/gen/train/actor_loss,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/learning_rate,raw/gen/time/episodes,raw/gen/train/n_updates
1252000,26.675379672723835,0.7842415294125676,-6.372142042636871,1,773,0.001,1252,1251000
1256000,26.889638616606426,0.5718000573851169,-6.069250415802002,1,771,0.001,1256,1255000
1260000,26.855702845892726,0.459805878598243,-5.810468653678894,1,776,0.001,1260,1259000
1264000,27.456684256902008,0.4633689981289208,-5.717037291049957,1,767,0.001,1264,1263000
1268000,27.689972861518157,0.5027305635176599,-5.711389001369477,1,767,0.001,1268,1267000
1272000,27.834970268234635,0.45784092650562525,-5.59281721496582,1,772,0.001,1272,1271000
1276000,27.840704320167873,0.39670016741380093,-5.332909486532211,1,767,0.001,1276,1275000
1280000,27.77763103416213,0.3456215419434011,-5.1042842848300936,1,772,0.001,1280,1279000
1284000,27.910726232609342,0.3823049369379878,-4.952995663166046,1,762,0.001,1284,1283000
1288000,28.33493301751376,0.3440168271511793,-4.878097560167313,1,771,0.001,1288,1287000
