#{"t_start": 1657269983.6683943, "env_id": "Walker2d-v2"}
return,length,time
-1.79018,20,46.068445
-7.348799,17,46.174811
0.615239,19,46.269574
-5.401395,9,46.317117
-10.384212,16,46.40423
-4.463104,27,46.578982
-1.622929,17,46.686601
-7.503793,19,46.81454
-2.553885,24,46.965201
-0.484072,15,47.062764
-3.735044,17,47.165389
3.20773,14,47.253505
-6.058288,23,47.387749
1.261944,11,47.447264
3.468114,14,47.535091
9.259717,51,47.80494
-2.192242,13,47.88235
0.327427,11,47.950641
-2.168816,24,48.077102
5.495476,17,48.173975
-3.369337,17,48.2713
5.703663,35,48.455363
-0.989268,16,48.57357
-0.419204,12,48.640683
0.666306,10,48.703108
-0.320345,13,48.786656
5.752122,28,48.921395
1.53963,18,49.009356
-5.198308,10,49.070185
-4.648682,21,49.173441
1.902954,19,49.275734
-1.34666,26,49.414113
2.089271,28,49.623775
-5.089076,23,49.783409
-2.347344,12,49.850357
3.858085,30,49.992902
-0.371309,19,50.084159
4.934277,30,50.220991
-5.037581,21,50.316337
4.697253,20,50.399835
-0.831305,12,50.448726
-7.12502,10,50.487463
1.382877,18,50.570267
2.572151,25,50.756026
-3.152098,10,50.810558
1.35443,12,50.870098
2.363604,12,50.932184
4.270819,31,51.111265
-0.233782,18,51.207716
-1.434256,18,51.296104
4.246927,38,51.510235
5.47438,17,64.79789
13.456871,30,64.995535
-2.220752,12,65.086739
-2.247132,23,65.244772
-1.133062,11,65.317049
-3.709351,16,65.422501
-5.776896,18,65.522121
-9.908466,17,65.625649
-0.066621,20,65.729085
2.596437,14,65.799449
-6.090945,20,65.894986
5.79579,24,66.027482
2.488714,14,66.120268
-5.364633,19,66.203983
0.942556,10,66.260854
6.741602,20,66.376432
-1.959583,21,66.499954
-4.724934,25,66.626616
-5.472292,14,66.701381
-3.098652,17,66.799714
-4.447516,30,66.958317
-5.518482,11,67.01039
2.89597,25,67.157537
-5.063867,12,67.236014
-0.898527,26,67.381212
-2.247294,17,67.501952
-9.144405,23,67.634644
-3.67622,14,67.709663
7.892664,35,67.878179
5.281918,17,67.966795
1.238507,18,68.060085
-3.161469,14,68.126325
5.830357,23,68.254337
-6.246485,9,68.313965
-4.752936,13,68.392633
0.530867,15,68.461045
5.867698,21,68.556495
-1.474331,9,68.598854
10.78904,20,68.698396
-0.174406,23,68.797266
9.825042,34,68.941553
-3.968572,9,68.988916
-9.320887,13,69.046751
-3.761693,19,69.141564
-4.712783,13,69.225522
-5.465536,20,69.333324
-9.828261,19,69.442834
-1.026202,27,69.587706
-6.875104,15,69.663136
3.591703,15,69.753675
-7.54667,12,69.811169
1.529953,11,69.876069
-7.116082,20,69.987625
2.422535,23,70.168675
