#{"t_start": 1657271093.6227658, "env_id": "Walker2d-v2"}
return,length,time
2.908504,23,96.345278
-2.151543,17,96.550946
1.841026,22,96.862862
4.547996,18,97.060574
-2.687709,15,97.283112
-0.110485,25,97.689039
-8.187039,21,98.014066
1.579906,18,98.316068
1.173012,10,98.472376
4.317039,17,98.716745
4.87045,39,99.24465
17.593695,47,99.897445
-0.104226,22,100.200618
-3.600471,14,100.435678
-4.68783,8,100.562607
-1.254058,10,100.717072
2.820002,14,100.907562
-4.882879,26,101.258155
-7.524455,28,101.653571
-5.097283,10,101.770463
1.57102,14,101.965756
2.841579,19,102.283914
1.650671,21,102.596907
17.004309,44,103.243976
-5.571716,13,103.427645
-2.801982,10,103.582829
-1.114735,11,103.779327
1.728243,28,104.191457
-0.003182,26,104.549448
-0.809798,44,105.231806
-8.084682,16,105.509776
-1.644413,19,105.856965
-5.15728,35,106.443167
-3.034306,13,106.666464
-2.414932,15,106.932137
1.455928,11,107.11764
-1.120064,12,107.305007
-0.038391,11,107.537862
-2.496523,15,107.815965
-10.432218,16,108.030661
2.701673,18,108.325248
0.770508,19,108.647919
-2.173441,17,108.922832
10.899889,26,109.3342
-0.587868,10,109.498937
2.548757,17,109.778388
-2.573607,12,109.969719
-2.065473,10,110.105963
-1.839746,12,110.266793
-1.249065,26,110.614743
-5.371766,9,110.735761
-0.327046,16,110.990694
-4.957099,13,139.739301
-0.079239,28,140.141215
-4.628267,25,140.471023
0.850071,22,140.775919
3.743903,25,141.105617
-6.733972,12,141.240865
-0.909505,13,141.384691
-3.421932,25,141.680937
-1.320832,11,141.838807
-4.568502,7,141.970188
1.167105,14,142.186669
5.63613,27,142.516437
-4.32573,21,142.808096
2.278655,18,143.069829
-3.916224,11,143.211406
-1.575335,17,143.437505
-10.576952,18,143.566538
-7.864351,21,143.840481
2.108006,11,143.979566
-1.21734,13,144.155755
-0.447975,24,144.514434
1.687091,17,144.729372
0.11652,12,144.891552
1.24048,29,145.329511
2.22217,19,145.589675
0.403147,12,145.753606
-4.630964,8,145.84955
-5.176763,14,146.052737
-2.956509,9,146.158319
-4.185984,22,146.440355
2.185483,16,146.643411
-4.404729,15,146.835781
-3.468234,14,147.060789
-3.284269,9,147.110866
2.322668,20,147.343004
-4.493961,14,147.547392
-0.388409,18,147.783423
-2.617491,18,148.013836
3.434436,20,148.280955
-0.567561,24,148.581902
-6.802462,23,148.893492
-1.162162,11,149.031596
1.682797,17,149.281364
0.899197,19,149.537909
-1.618896,21,149.821032
11.890088,36,150.334547
-3.023632,7,150.426888
-2.691269,10,150.562846
-2.430518,10,150.687586
-6.130616,31,151.08262
-5.212239,13,151.274736
2.608492,19,151.501936
-4.394199,9,151.63678
-6.820371,9,151.757978
-5.793772,13,151.942494
-2.521943,13,152.118166
-3.279177,8,152.275506
1.671544,15,152.456637
-2.451024,9,152.559084
4.914762,21,152.809338
-5.734272,10,152.929216
16.677832,31,157.019834
1.496396,18,157.268014
-0.608131,14,157.455597
1.186759,13,157.623467
-14.048015,17,157.848417
-4.73253,12,158.019402
-3.858996,9,158.16926
1.659135,14,158.370912
-5.290473,23,158.693058
-6.912821,16,158.915059
-1.791294,15,159.137853
-0.28649,11,159.267082
-1.080245,14,159.432313
7.978518,26,159.754874
-6.149389,22,160.03371
2.726039,25,160.392135
-7.299449,13,160.592788
-3.709161,17,160.800464
-6.809595,12,160.947216
-3.594245,10,161.074224
0.93783,16,161.307703
-2.916164,10,161.438802
3.067407,19,161.696945
2.79026,19,161.959999
0.589428,15,162.183762
0.647354,18,162.431005
-6.714314,9,162.55565
-4.537766,7,162.655504
0.511592,10,162.763586
-6.900904,14,162.964882
-2.206395,13,163.107707
-10.082206,16,163.300596
-0.642514,11,163.452545
-5.895866,18,163.700837
-6.842834,18,163.971361
-4.570878,14,164.201077
-1.998245,16,164.440859
-4.778011,8,164.580766
-2.70697,10,164.748892
-2.010871,14,164.978162
-6.712453,11,165.115658
-5.857144,11,165.250964
-11.670509,21,165.526291
-4.319197,14,165.750962
-6.951495,7,165.872637
-2.52091,13,166.048831
-3.383404,18,166.289814
-5.39079,22,166.562077
-5.39758,9,166.675793
-6.110657,21,166.952066
-0.440197,9,167.083331
-3.5457,10,167.264673
2.194581,16,167.520605
-4.025408,11,167.700289
6.582597,20,168.023797
1.148992,19,168.377917
-3.359827,10,168.536383
2.469359,21,168.909696
-4.910081,15,169.168915
-2.127647,11,169.338911
-2.921302,8,169.451222
-3.464911,8,169.559964
1.519698,11,169.706159
4.164221,16,169.921365
-1.864125,9,170.055707
-2.796158,11,170.2558
1.475793,16,170.482358
-9.392273,17,170.711789
10.322671,37,175.199849
6.560908,17,175.442196
-4.232383,6,175.539255
-1.147463,14,175.726334
-0.640937,19,175.978577
-1.458797,14,176.201954
-2.701994,10,176.362553
-1.618104,11,176.497673
3.986228,20,176.758919
-2.70198,10,176.899017
-0.533894,12,177.079379
-2.836237,7,177.187363
0.917923,13,177.366497
-5.381948,11,177.526592
-5.734752,18,177.75279
-8.79815,11,177.900877
-5.986181,8,178.016324
-7.337261,19,178.288877
-2.625658,29,178.710226
-9.403688,22,179.0524
-7.959968,21,179.430379
-9.24132,20,179.698914
-8.843669,23,179.984175
-9.664428,15,180.177207
-9.191182,16,180.356913
-0.653548,26,180.691029
-2.563631,10,180.832193
-7.031875,10,180.966133
-8.971831,16,181.160824
-4.037318,9,181.297089
-0.756892,11,181.455071
-4.738874,12,181.656098
1.807979,11,181.805112
-3.566334,14,181.976139
3.069287,35,182.484628
-3.580146,14,182.679206
-2.268787,9,182.785249
4.540648,16,183.01497
-0.979218,19,183.249989
-7.97995,24,183.629283
-6.039284,23,183.962455
-4.87508,24,184.374796
-5.283918,9,184.489858
-1.663272,9,184.642927
1.853657,12,184.836833
-6.582376,11,184.992222
4.692035,36,185.392838
-0.700942,15,185.547321
-7.634757,19,185.775367
0.441225,11,185.906994
-2.735816,11,186.07479
-3.031065,11,186.236836
-2.522676,10,186.399331
-0.698975,21,186.658157
-0.995536,29,187.027841
-5.308205,20,187.311549
-9.32335,13,187.497163
-4.922324,10,187.616474
-2.118432,10,187.762406
2.520817,26,188.135466
3.148995,15,188.392223
10.960578,28,192.682543
-9.699066,16,192.905429
-2.148876,15,193.082655
-1.214665,10,193.226953
-2.50423,9,193.33655
-4.023121,8,193.472035
1.00842,13,193.662021
-4.19694,13,193.88819
1.555552,20,194.230393
2.519955,17,194.475634
0.051849,20,194.757987
-11.27959,14,194.948777
-0.098265,10,195.080925
-2.708591,10,195.203392
3.484652,16,195.43074
-3.089707,24,195.767042
-0.873441,12,195.959516
-4.15494,17,196.193588
-2.957644,12,196.357453
-5.602304,12,196.522732
-3.167743,19,196.787466
-7.868992,17,196.975504
-8.74248,20,197.24612
-6.327969,11,197.409419
-3.832405,10,197.533826
-4.97235,9,197.664178
-4.468305,21,197.920023
3.121176,15,198.120229
-8.003208,18,198.396889
-15.618662,18,198.682304
-4.38568,10,198.820519
-5.257652,19,199.092636
-1.723414,11,199.263699
-1.851444,10,199.38401
-4.118523,27,199.79779
-6.981007,22,200.160672
1.151087,24,200.619954
-5.907546,12,200.839419
-2.379116,13,201.060738
-3.481138,13,201.250024
1.396808,13,201.448453
-4.125911,7,201.554832
