mean/disc/disc_entropy,mean/disc/n_generated,mean/disc/n_expert,mean/gen/train/n_updates,mean/gen/train/learning_rate,mean/disc/disc_acc_gen,mean/disc/disc_acc,mean/disc/disc_proportion_expert_pred,mean/gen/train/critic_loss,mean/disc/disc_loss,mean/disc/global_step,mean/gen/train/actor_loss,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_wrapped_mean,mean/gen/time/fps,mean/gen/time/total_timesteps,mean/gen/time/time_elapsed,mean/gen/time/episodes
0.6907409727573395,1024.0,1024.0,1000.0,0.001,0.000244140625,0.4984130859375,0.9981689453125,0.008856097067182418,0.6912416964769363,1.0,-3.633971750676632,0.99658203125,0.5,,,,,
0.6900806128978729,1024.0,1024.0,2000.0,0.001,0.03076171875,0.515380859375,0.984619140625,0.05667828247090802,0.6669509410858154,2.0,-10.198971502304078,1.0,0.5,736.1948739290237,,,,
0.687872052192688,1024.0,1024.0,3000.0,0.001,0.0966796875,0.54833984375,0.95166015625,0.41099983953684566,0.6653055399656296,3.0,-26.468803575515746,1.0,0.5,743.2010797262192,,,,
0.6867966651916504,1024.0,1024.0,4000.0,0.001,0.0478515625,0.52392578125,0.97607421875,0.4808145974650979,0.6601470112800598,4.0,-31.33616397666931,1.0,0.5,768.5303501288096,755.0,4000.0,1.0,4.0
0.6846983283758163,1024.0,1024.0,5000.0,0.001,0.219970703125,0.6099853515625,0.8900146484375,1.2906117258071899,0.6330359280109406,5.0,-38.91541035461426,1.0,0.5,768.7047774791718,,,,
0.681853860616684,1024.0,1024.0,6000.0,0.001,0.415283203125,0.7076416015625,0.7923583984375,2.0505474252700804,0.6165339946746826,6.0,-46.950997829437256,1.0,0.5,758.7413499772549,,,,
0.6795241236686707,1024.0,1024.0,7000.0,0.001,0.435791015625,0.7174072265625,0.7816162109375,2.6646231935024263,0.6069566458463669,7.0,-58.40523105239868,0.9990234375,0.5,756.4632143328587,,,,
0.6769957542419434,1024.0,1024.0,8000.0,0.001,0.625244140625,0.80712890625,0.681884765625,4.98135208594799,0.5857006311416626,8.0,-73.48556085586547,0.989013671875,0.5,751.638151624373,769.0,8000.0,1.0,8.0
0.670804813504219,1024.0,1024.0,9000.0,0.001,0.77880859375,0.8778076171875,0.5989990234375,5.926149234652519,0.5541580319404602,9.0,-83.56814228057861,0.976806640625,0.5,743.8753227852285,,,,
0.6608580350875854,1024.0,1024.0,10000.0,0.001,0.925537109375,0.94140625,0.515869140625,5.894390236377716,0.5094711482524872,10.0,-89.5596088180542,0.957275390625,0.5,731.7544288535913,,,,
0.6467278003692627,1024.0,1024.0,11000.0,0.001,0.97998046875,0.9591064453125,0.4791259765625,5.8631654441356655,0.46767716854810715,11.0,-94.98500491333007,0.938232421875,0.5,714.1315442919731,,,,
0.633460208773613,1024.0,1024.0,12000.0,0.001,0.9716796875,0.9466552734375,0.4749755859375,5.319241060256958,0.44867292046546936,12.0,-98.42823355102539,0.921630859375,0.5,698.3097861409187,776.0,12000.0,1.0,12.0
0.6192368566989899,1024.0,1024.0,13000.0,0.001,0.95654296875,0.93359375,0.47705078125,5.827937180519104,0.4329715594649315,13.0,-104.182975440979,0.91064453125,0.5,685.4902804667751,,,,
0.5919265300035477,1024.0,1024.0,14000.0,0.001,0.97412109375,0.9376220703125,0.4635009765625,6.425272015333175,0.38790837675333023,14.0,-109.51868525695801,0.901123046875,0.5,674.3884008022455,,,,
0.5470512956380844,1024.0,1024.0,15000.0,0.001,0.993896484375,0.9486083984375,0.4547119140625,6.512906192779541,0.32326386868953705,15.0,-112.7132903213501,0.9033203125,0.5,656.290507355971,,,,
0.5158036798238754,1024.0,1024.0,16000.0,0.001,0.9951171875,0.947509765625,0.452392578125,6.2381005527973175,0.29283607006073,16.0,-115.88983056640625,0.89990234375,0.5,636.0263223588466,781.0,16000.0,1.0,16.0
0.4849749878048897,1024.0,1024.0,17000.0,0.001,0.99755859375,0.9461669921875,0.4486083984375,5.49192331457138,0.26784416288137436,17.0,-118.124669090271,0.894775390625,0.5,618.1119896611199,,,,
0.44087299704551697,1024.0,1024.0,18000.0,0.001,0.998291015625,0.9560546875,0.457763671875,5.235873428583145,0.22878016531467438,18.0,-120.1381566696167,0.913818359375,0.5,600.1914749020601,,,,
0.40313655138015747,1024.0,1024.0,19000.0,0.001,0.997314453125,0.953857421875,0.45654296875,4.9084095482826235,0.205104049295187,19.0,-123.86013153076172,0.910400390625,0.5,579.5096844817615,,,,
0.3776919022202492,1024.0,1024.0,20000.0,0.001,0.97607421875,0.94921875,0.47314453125,4.819826582193374,0.19745822250843048,20.0,-124.56355519866943,0.92236328125,0.5,561.9533592282157,774.0,20000.0,1.0,20.0
0.32886091619729996,1024.0,1024.0,21000.0,0.001,0.97900390625,0.9554443359375,0.4764404296875,5.3357733893394474,0.1648482084274292,21.0,-127.80747076416016,0.931884765625,0.5,545.7043994734995,,,,
0.3040897324681282,1024.0,1024.0,22000.0,0.001,0.983154296875,0.9593505859375,0.4761962890625,5.638975545167923,0.1516065150499344,22.0,-133.53068489074707,0.935546875,0.5,526.2380903988987,,,,
0.27802660316228867,1024.0,1024.0,23000.0,0.001,0.994140625,0.9722900390625,0.4781494140625,5.511467041015625,0.1305052824318409,23.0,-137.43163131713868,0.950439453125,0.5,510.29197983638466,,,,
0.23502640798687935,1024.0,1024.0,24000.0,0.001,0.998046875,0.9835205078125,0.4854736328125,5.129897562980652,0.10072495974600315,24.0,-138.45995492553712,0.968994140625,0.5,492.55836839820057,779.0,24000.0,1.0,24.0
