raw/disc/disc_proportion_expert_true,raw/disc/global_step,raw/disc/disc_entropy,raw/disc/disc_acc_gen,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/disc_loss,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
0.5,1,0.6919360160827637,0.431640625,0.8359375,0.6337890625,1024.0,0.6747484803199768,1024.0,0.7021484375
0.5,1,0.6917892694473267,0.5380859375,0.8662109375,0.7021484375,1024.0,0.6688088774681091,1024.0,0.6640625
0.5,1,0.69139564037323,0.6123046875,0.89453125,0.75341796875,1024.0,0.6607488989830017,1024.0,0.64111328125
0.5,1,0.69105064868927,0.6474609375,0.91015625,0.77880859375,1024.0,0.6553617715835571,1024.0,0.63134765625
0.5,2,0.6911230087280273,0.3720703125,0.9013671875,0.63671875,1024.0,0.6600608825683594,1024.0,0.7646484375
0.5,2,0.6908920407295227,0.3837890625,0.9130859375,0.6484375,1024.0,0.6552940607070923,1024.0,0.7646484375
0.5,2,0.6905522346496582,0.4326171875,0.935546875,0.68408203125,1024.0,0.6490716934204102,1024.0,0.75146484375
0.5,2,0.6901614665985107,0.8798828125,0.9287109375,0.904296875,1024.0,0.6438641548156738,1024.0,0.5244140625
0.5,3,0.6905806064605713,0.9306640625,0.9306640625,0.9306640625,1024.0,0.6499438285827637,1024.0,0.5
0.5,3,0.6900373101234436,0.9560546875,0.94140625,0.94873046875,1024.0,0.6421822309494019,1024.0,0.49267578125
0.5,3,0.6895842552185059,0.9736328125,0.955078125,0.96435546875,1024.0,0.6357566118240356,1024.0,0.49072265625
0.5,3,0.6894707679748535,0.982421875,0.9482421875,0.96533203125,1024.0,0.6321390867233276,1024.0,0.48291015625
0.5,4,0.6889553070068359,0.982421875,0.9482421875,0.96533203125,1024.0,0.626884937286377,1024.0,0.48291015625
0.5,4,0.6884354948997498,0.998046875,0.962890625,0.98046875,1024.0,0.6214271783828735,1024.0,0.482421875
0.5,4,0.6879657506942749,0.998046875,0.9599609375,0.97900390625,1024.0,0.6161423921585083,1024.0,0.48095703125
0.5,4,0.6871814727783203,0.998046875,0.9677734375,0.98291015625,1024.0,0.6089189052581787,1024.0,0.48486328125
0.5,5,0.686308741569519,0.9990234375,0.974609375,0.98681640625,1024.0,0.6024599075317383,1024.0,0.48779296875
0.5,5,0.6853970289230347,0.9990234375,0.9716796875,0.9853515625,1024.0,0.5958747863769531,1024.0,0.486328125
0.5,5,0.6842507123947144,0.9990234375,0.9892578125,0.994140625,1024.0,0.5873757600784302,1024.0,0.4951171875
0.5,5,0.6834725141525269,1.0,0.9921875,0.99609375,1024.0,0.5808858275413513,1024.0,0.49609375
0.5,6,0.681939959526062,0.9990234375,0.9951171875,0.9970703125,1024.0,0.5721552968025208,1024.0,0.498046875
0.5,6,0.6810063123703003,1.0,0.9912109375,0.99560546875,1024.0,0.5665624141693115,1024.0,0.49560546875
0.5,6,0.679856538772583,1.0,0.9970703125,0.99853515625,1024.0,0.5603262186050415,1024.0,0.49853515625
0.5,6,0.6775426864624023,0.9990234375,0.9990234375,0.9990234375,1024.0,0.5487508773803711,1024.0,0.5
0.5,7,0.6775515675544739,0.705078125,1.0,0.8525390625,1024.0,0.5684905648231506,1024.0,0.6474609375
0.5,7,0.6761054992675781,0.8544921875,1.0,0.92724609375,1024.0,0.5616030693054199,1024.0,0.57275390625
0.5,7,0.6741185784339905,0.9326171875,1.0,0.96630859375,1024.0,0.5544183254241943,1024.0,0.53369140625
0.5,7,0.6728712320327759,0.9443359375,1.0,0.97216796875,1024.0,0.5483835935592651,1024.0,0.52783203125
0.5,8,0.6732541918754578,0.54296875,1.0,0.771484375,1024.0,0.5767349600791931,1024.0,0.728515625
0.5,8,0.6715519428253174,0.548828125,1.0,0.7744140625,1024.0,0.5709208846092224,1024.0,0.7255859375
0.5,8,0.6699578166007996,0.560546875,1.0,0.7802734375,1024.0,0.5649842023849487,1024.0,0.7197265625
0.5,8,0.6685000658035278,0.666015625,1.0,0.8330078125,1024.0,0.5577877759933472,1024.0,0.6669921875
0.5,9,0.6665154695510864,0.75390625,1.0,0.876953125,1024.0,0.5606875419616699,1024.0,0.623046875
0.5,9,0.6649302244186401,0.76953125,1.0,0.884765625,1024.0,0.5515836477279663,1024.0,0.615234375
0.5,9,0.6634745597839355,0.78125,1.0,0.890625,1024.0,0.5418268442153931,1024.0,0.609375
0.5,9,0.6602835655212402,0.8173828125,1.0,0.90869140625,1024.0,0.5288714170455933,1024.0,0.59130859375
0.5,10,0.6573182344436646,0.740234375,0.9990234375,0.86962890625,1024.0,0.5214192867279053,1024.0,0.62939453125
0.5,10,0.655060887336731,0.7783203125,1.0,0.88916015625,1024.0,0.5112842321395874,1024.0,0.61083984375
0.5,10,0.6537340879440308,0.78515625,0.998046875,0.8916015625,1024.0,0.5056312680244446,1024.0,0.6064453125
0.5,10,0.650349497795105,0.873046875,1.0,0.9365234375,1024.0,0.4921976327896118,1024.0,0.5634765625
0.5,11,0.6441259384155273,0.970703125,0.998046875,0.984375,1024.0,0.45691773295402527,1024.0,0.513671875
0.5,11,0.6406751275062561,0.9912109375,0.9990234375,0.9951171875,1024.0,0.44934171438217163,1024.0,0.50390625
0.5,11,0.635887086391449,0.98828125,0.9990234375,0.99365234375,1024.0,0.43693795800209045,1024.0,0.50537109375
0.5,11,0.6301993727684021,0.9951171875,0.998046875,0.99658203125,1024.0,0.42307472229003906,1024.0,0.50146484375
