raw/disc/global_step,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/n_generated,raw/disc/disc_entropy,raw/disc/disc_proportion_expert_true
1,0.9892578125,0.49462890625,0.0,0.7003657221794128,0.99462890625,1024.0,1024.0,0.6907618045806885,0.5
1,0.9990234375,0.49951171875,0.0,0.6937961578369141,0.99951171875,1024.0,1024.0,0.6908369064331055,0.5
1,0.998046875,0.49951171875,0.0009765625,0.688734769821167,0.99853515625,1024.0,1024.0,0.6907130479812622,0.5
1,1.0,0.5,0.0,0.6820701360702515,1.0,1024.0,1024.0,0.6906521320343018,0.5
2,1.0,0.50537109375,0.0107421875,0.6767157912254333,0.99462890625,1024.0,1024.0,0.6903510093688965,0.5
2,1.0,0.509765625,0.01953125,0.6699587106704712,0.990234375,1024.0,1024.0,0.6901267766952515,0.5
2,1.0,0.51806640625,0.0361328125,0.6633967757225037,0.98193359375,1024.0,1024.0,0.6900597214698792,0.5
2,1.0,0.5283203125,0.056640625,0.6577324867248535,0.9716796875,1024.0,1024.0,0.6897849440574646,0.5
3,1.0,0.51123046875,0.0224609375,0.6737391948699951,0.98876953125,1024.0,1024.0,0.688073992729187,0.5
3,1.0,0.51123046875,0.0224609375,0.668261706829071,0.98876953125,1024.0,1024.0,0.6879811882972717,0.5
3,1.0,0.5146484375,0.029296875,0.6632640361785889,0.9853515625,1024.0,1024.0,0.6878142356872559,0.5
3,1.0,0.65625,0.3125,0.6559572219848633,0.84375,1024.0,1024.0,0.6876187920570374,0.5
4,1.0,0.52197265625,0.0439453125,0.6697908043861389,0.97802734375,1024.0,1024.0,0.686978816986084,0.5
4,1.0,0.52099609375,0.0419921875,0.6640033721923828,0.97900390625,1024.0,1024.0,0.6869935393333435,0.5
4,1.0,0.52490234375,0.0498046875,0.6564661264419556,0.97509765625,1024.0,1024.0,0.6867687702178955,0.5
4,1.0,0.52783203125,0.0556640625,0.650327742099762,0.97216796875,1024.0,1024.0,0.6864455342292786,0.5
5,1.0,0.59814453125,0.1962890625,0.6412434577941895,0.90185546875,1024.0,1024.0,0.6854074597358704,0.5
5,1.0,0.61328125,0.2265625,0.6345924139022827,0.88671875,1024.0,1024.0,0.6850021481513977,0.5
5,1.0,0.61181640625,0.2236328125,0.6312522888183594,0.88818359375,1024.0,1024.0,0.6844732165336609,0.5
5,1.0,0.61669921875,0.2333984375,0.6250555515289307,0.88330078125,1024.0,1024.0,0.6839104890823364,0.5
6,1.0,0.67919921875,0.3583984375,0.6258916854858398,0.82080078125,1024.0,1024.0,0.6829605102539062,0.5
6,1.0,0.69189453125,0.3837890625,0.6201455593109131,0.80810546875,1024.0,1024.0,0.6822099685668945,0.5
6,1.0,0.72119140625,0.4423828125,0.6146471500396729,0.77880859375,1024.0,1024.0,0.6817476749420166,0.5
6,1.0,0.73828125,0.4765625,0.6054515838623047,0.76171875,1024.0,1024.0,0.6804972887039185,0.5
7,1.0,0.68359375,0.3671875,0.6154154539108276,0.81640625,1024.0,1024.0,0.680368959903717,0.5
7,1.0,0.71337890625,0.4267578125,0.6103036403656006,0.78662109375,1024.0,1024.0,0.6799702048301697,0.5
7,0.9990234375,0.72021484375,0.44140625,0.6066016554832458,0.77880859375,1024.0,1024.0,0.6796446442604065,0.5
7,0.9970703125,0.75244140625,0.5078125,0.5955058336257935,0.74462890625,1024.0,1024.0,0.6781126856803894,0.5
8,0.99609375,0.7705078125,0.544921875,0.5938818454742432,0.7255859375,1024.0,1024.0,0.6779345273971558,0.5
8,0.9951171875,0.8017578125,0.6083984375,0.5871700048446655,0.693359375,1024.0,1024.0,0.6774079203605652,0.5
8,0.990234375,0.822265625,0.654296875,0.5833630561828613,0.66796875,1024.0,1024.0,0.6768326163291931,0.5
8,0.974609375,0.833984375,0.693359375,0.5783876180648804,0.640625,1024.0,1024.0,0.6758079528808594,0.5
9,0.986328125,0.85107421875,0.7158203125,0.5654963254928589,0.63525390625,1024.0,1024.0,0.6733092665672302,0.5
9,0.9697265625,0.8681640625,0.7666015625,0.5584381222724915,0.6015625,1024.0,1024.0,0.6715959310531616,0.5
9,0.9775390625,0.88916015625,0.80078125,0.5497363805770874,0.58837890625,1024.0,1024.0,0.6697020530700684,0.5
9,0.9736328125,0.90283203125,0.83203125,0.5429612994194031,0.57080078125,1024.0,1024.0,0.668612003326416,0.5
10,0.97265625,0.93505859375,0.8974609375,0.5220637321472168,0.53759765625,1024.0,1024.0,0.6645484566688538,0.5
10,0.9541015625,0.9384765625,0.9228515625,0.5157288312911987,0.515625,1024.0,1024.0,0.6628903150558472,0.5
10,0.9599609375,0.9423828125,0.9248046875,0.5038100481033325,0.517578125,1024.0,1024.0,0.6592748165130615,0.5
10,0.9423828125,0.94970703125,0.95703125,0.4962819814682007,0.49267578125,1024.0,1024.0,0.6567185521125793,0.5
11,0.9443359375,0.95849609375,0.97265625,0.47869178652763367,0.48583984375,1024.0,1024.0,0.6518527269363403,0.5
11,0.9443359375,0.96044921875,0.9765625,0.4727374315261841,0.48388671875,1024.0,1024.0,0.6488935947418213,0.5
11,0.92578125,0.95361328125,0.9814453125,0.46716493368148804,0.47216796875,1024.0,1024.0,0.6456098556518555,0.5
11,0.9384765625,0.9638671875,0.9892578125,0.4521145224571228,0.474609375,1024.0,1024.0,0.6405550241470337,0.5
12,0.9345703125,0.95263671875,0.970703125,0.46208521723747253,0.48193359375,1024.0,1024.0,0.6407387256622314,0.5
12,0.927734375,0.94091796875,0.9541015625,0.45615923404693604,0.48681640625,1024.0,1024.0,0.6368013024330139,0.5
12,0.9189453125,0.95068359375,0.982421875,0.44260531663894653,0.46826171875,1024.0,1024.0,0.6306277513504028,0.5
12,0.9052734375,0.9423828125,0.9794921875,0.43384191393852234,0.462890625,1024.0,1024.0,0.6256730556488037,0.5
13,0.908203125,0.9287109375,0.94921875,0.44754093885421753,0.4794921875,1024.0,1024.0,0.6278113126754761,0.5
13,0.9052734375,0.9287109375,0.9521484375,0.4398248493671417,0.4765625,1024.0,1024.0,0.6227284669876099,0.5
13,0.9169921875,0.93994140625,0.962890625,0.4266209006309509,0.47705078125,1024.0,1024.0,0.6168328523635864,0.5
13,0.912109375,0.93701171875,0.9619140625,0.41789954900741577,0.47509765625,1024.0,1024.0,0.6095747947692871,0.5
