mean/gen/train/learning_rate,mean/gen/train/clip_fraction,mean/gen/train/approx_kl,mean/gen/train/std,mean/gen/time/total_timesteps,mean/disc/disc_entropy,mean/gen/train/loss,mean/disc/disc_acc_expert,mean/disc/disc_loss,mean/disc/disc_proportion_expert_true,mean/disc/disc_proportion_expert_pred,mean/disc/n_generated,mean/disc/n_expert,mean/gen/train/explained_variance,mean/gen/time/time_elapsed,mean/disc/disc_acc_gen,mean/gen/train/n_updates,mean/gen/train/policy_gradient_loss,mean/gen/time/fps,mean/gen/rollout/ep_len_mean,mean/gen/train/entropy_loss,mean/gen/time/iterations,mean/gen/train/value_loss,mean/disc/disc_acc,mean/disc/global_step,mean/gen/train/clip_range,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_rew_wrapped_mean
0.0003,0.110400390625,0.010930784046649933,0.9979888200759888,2048.0,0.687619149684906,19.094676971435547,1.0,0.7019843012094498,0.5,0.99755859375,1024.0,1024.0,-0.22334504127502441,4.0,0.0048828125,10.0,-0.01940326445037499,412.0,1000.0,-8.507024851441383,1.0,157.6332151889801,0.50244140625,1.0,0.2,-165.171318,
0.0003,0.130712890625,0.011995379813015461,0.9968995451927185,4096.0,0.6889512985944748,5.953772068023682,1.0,0.6818616837263107,0.5,0.9654541015625,1024.0,1024.0,0.02281928062438965,4.0,0.069091796875,20.0,-0.01904581120761577,410.0,1000.0,-8.49665270447731,1.0,53.754848232865335,0.5345458984375,2.0,0.2,-148.21986725,1047.1224918961525
0.0003,0.165869140625,0.01882254332304001,0.9850372672080994,6144.0,0.6896556913852692,6.556192874908447,1.0,0.6622618138790131,0.5,0.8919677734375,1024.0,1024.0,0.04528939723968506,4.0,0.216064453125,30.0,-0.027926107906387186,430.0,1000.0,-8.458721432089806,1.0,28.598893110454082,0.6080322265625,3.0,0.2,-54.93037416666666,918.8586332798004
0.0003,0.12919921875,0.020794127136468887,0.9831832647323608,8192.0,0.6890576183795929,12.125140190124512,1.0,0.6282395720481873,0.5,0.65478515625,1024.0,1024.0,-0.006781220436096191,4.0,0.6904296875,40.0,-0.020655904708837623,446.0,1000.0,-8.420417073369027,1.0,23.228202793747187,0.84521484375,4.0,0.2,-101.050415375,861.185266683499
0.0003,0.14296875,0.018088018521666527,0.9861251711845398,10240.0,0.6869780570268631,3.218538999557495,1.0,0.6015065908432007,0.5,0.5594482421875,1024.0,1024.0,-0.004753708839416504,4.0,0.881103515625,50.0,-0.01577494039956946,441.0,1000.0,-8.413951948285103,1.0,17.219629216194154,0.9405517578125,5.0,0.2,-96.0168091,816.7335226088762
0.0003,0.096923828125,0.011777723208069801,0.9853886365890503,12288.0,0.6845149397850037,2.2607078552246094,1.0,0.587313175201416,0.5,0.5699462890625,1024.0,1024.0,-0.1810758113861084,4.0,0.860107421875,60.0,-0.01233694036345696,429.0,1000.0,-8.429374524950981,1.0,17.629307878017425,0.9300537109375,6.0,0.2,-109.15889958333332,782.5922736316919
0.0003,0.208740234375,0.01723763719201088,0.9789380431175232,14336.0,0.6796208471059799,1.2463083267211914,0.999755859375,0.5552066117525101,0.5,0.5233154296875,1024.0,1024.0,-0.027332305908203125,4.0,0.953125,70.0,-0.02577684727148153,444.0,1000.0,-8.410449299216271,1.0,15.83559527285397,0.9764404296875,7.0,0.2,-133.2502027142857,755.8736899644136
0.0003,0.2060546875,0.01972736418247223,0.9795011281967163,16384.0,0.6719928681850433,3.8754801750183105,0.99853515625,0.5239130854606628,0.5,0.51953125,1024.0,1024.0,-0.02511751651763916,4.0,0.95947265625,80.0,-0.026503986807074397,437.0,1000.0,-8.386274683475495,1.0,16.30198670756072,0.97900390625,8.0,0.2,-121.98510099999999,731.2862434770379
0.0003,0.182177734375,0.014978744089603424,0.9757620096206665,18432.0,0.6639148443937302,1.1555858850479126,0.9970703125,0.4963129088282585,0.5,0.514404296875,1024.0,1024.0,-0.016192317008972168,4.0,0.96826171875,90.0,-0.026268676409381443,422.0,1000.0,-8.380522832274437,1.0,16.589785164408386,0.982666015625,9.0,0.2,-96.4806347222222,707.8231722135097
0.0003,0.173486328125,0.012629998847842216,0.977871835231781,20480.0,0.6526033729314804,12.046695709228516,0.994384765625,0.4617888107895851,0.5,0.5018310546875,1024.0,1024.0,-0.008346319198608398,4.0,0.99072265625,100.0,-0.022115128373843617,412.0,1000.0,-8.378963765501975,1.0,16.232597422972322,0.9925537109375,10.0,0.2,-89.01022889999999,685.694885879755
