raw/gen/rollout/ep_len_mean,raw/gen/train/n_updates,raw/gen/train/critic_loss,raw/gen/time/total_timesteps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_rew_mean,raw/gen/time/fps,raw/gen/train/learning_rate,raw/gen/train/actor_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/time/episodes
1000.0,3000,0.46299824223760516,4000,1,46.84018375,741,0.001,-18.52509761428833,705.4838267962137,4
1000.0,7000,6.445306478977203,8000,1,89.623889125,756,0.001,-58.8331736869812,692.4496660275119,8
1000.0,11000,20.958264419555665,12000,1,42.111027416666666,731,0.001,-130.59524685668944,644.7875448004766,12
1000.0,15000,100.26339049720764,16000,1,31.71420725,755,0.001,-292.1719655761719,611.0970973412196,16
1000.0,19000,182.37165872192384,20000,1,23.29788795,735,0.001,-400.2612617797852,525.3443020790031,20
1000.0,23000,274.4394650630951,24000,1,40.630857416666665,740,0.001,-462.7953178100586,451.5776122937576,24
1000.0,27000,276.33561574935914,28000,1,62.25247628571429,754,0.001,-490.4131137390137,392.91067225561494,28
1000.0,31000,266.8272558288574,32000,1,50.07860359375,752,0.001,-498.43597537231443,359.2665536447875,32
1000.0,35000,259.15783184432985,36000,1,58.36879150000001,736,0.001,-483.8580817565918,330.4206889395286,36
1000.0,39000,283.81733403396606,40000,1,38.523771375,759,0.001,-470.4154083557129,298.1559965506654,40
1000.0,43000,247.1267134780884,44000,1,20.26959027272727,760,0.001,-450.7169660644531,272.2623568630822,44
1000.0,47000,219.82627954483033,48000,1,24.67413420833333,748,0.001,-424.85349166870117,250.11726732904611,48
1000.0,51000,184.60176300239564,52000,1,34.25933992307692,761,0.001,-408.9521337585449,231.62120211186877,52
1000.0,55000,173.90340096569062,56000,1,42.56871678571429,730,0.001,-388.1131916809082,217.17430006805284,56
1000.0,59000,153.22669582366944,60000,1,34.5036611,750,0.001,-372.6843467102051,202.7616914440908,60
1000.0,63000,145.73729641246797,64000,1,30.314761999999998,751,0.001,-355.16055041503904,190.5589039570381,64
1000.0,67000,129.00471611118317,68000,1,25.97907711764706,728,0.001,-335.114421661377,179.64441740781066,68
1000.0,71000,115.58610455513,72000,1,22.419820305555554,751,0.001,-312.44381063842775,170.15788786906748,72
1000.0,75000,107.11983336162567,76000,1,26.640641986842102,752,0.001,-290.67120852661134,161.31563791935142,76
1000.0,79000,77.02619214010238,80000,1,14.66320945,745,0.001,-267.2187478637695,153.45038278767294,80
1000.0,83000,60.892137887001034,84000,1,7.690623023809523,754,0.001,-244.2829069366455,146.3965415254015,84
1000.0,87000,59.68827758383751,88000,1,17.94432730681818,748,0.001,-222.59179551696778,141.85285811181507,88
1000.0,91000,47.88710164093971,92000,1,21.91895466304348,758,0.001,-202.02181085205078,136.0182209959385,92
1000.0,95000,30.976035896778107,96000,1,23.865733229166665,746,0.001,-182.56084149169922,130.4144370719961,96
1000.0,99000,28.718141615748404,100000,1,30.385897829999998,742,0.001,-164.58414082336427,125.32010616368089,100
1000.0,103000,20.937309797406197,104000,1,29.978806160000005,723,0.001,-147.95092472839355,103.15124850169522,104
1000.0,107000,19.14384555876255,108000,1,24.51440732,755,0.001,-132.4101683654785,76.44490179742728,108
1000.0,111000,16.539749782323838,112000,1,24.25391267,751,0.001,-118.34448444366456,54.5487323242743,112
1000.0,115000,13.63095129442215,116000,1,22.062463389999998,742,0.001,-106.00663130950927,34.19917733077788,116
1000.0,119000,8.938075307488441,120000,1,25.429419889999995,734,0.001,-95.6288606185913,26.461399856932044,120
1000.0,123000,9.620941362917423,124000,1,16.7275045,734,0.001,-86.51139448547363,22.621853819196026,124
1000.0,127000,8.613202065467835,128000,1,3.6388904499999994,743,0.001,-80.19418949890137,21.168112817726296,128
1000.0,131000,9.537256046116353,132000,1,10.251453920000001,740,0.001,-78.10613709259033,16.85978751312461,132
1000.0,135000,9.822902496695518,136000,1,1.8918286800000055,751,0.001,-77.9997632598877,12.674237936572979,136
1000.0,139000,9.927209086060524,140000,1,-2.8737045799999987,751,0.001,-84.51126402282715,17.155395157332197,140
1000.0,143000,11.766017203271389,144000,1,9.322416039999997,729,0.001,-88.9370199508667,55.29598917641032,144
1000.0,147000,14.632102120637894,148000,1,23.70154955,731,0.001,-93.42709896087646,56.12645651775807,148
1000.0,151000,13.910485286474229,152000,1,15.387801459999999,744,0.001,-99.25149787902832,57.89178625573593,152
1000.0,155000,16.562431284070016,156000,1,12.961588529999998,756,0.001,-110.86217121887206,61.78067600873119,156
1000.0,159000,19.476520534038542,160000,1,-0.30332264000000464,743,0.001,-114.95564949798585,62.077552136158474,160
1000.0,163000,15.873127408266068,164000,1,-1.5803643900000066,731,0.001,-110.59372100830078,63.06358732173842,164
1000.0,167000,14.50751196694374,168000,1,10.935930659999997,733,0.001,-106.91150027465821,66.80489160803769,168
1000.0,171000,22.084831964731215,172000,1,23.19690932,756,0.001,-104.8119495010376,70.78181033386007,172
1000.0,175000,18.28281707024574,176000,1,17.03867201,746,0.001,-101.02945482635498,72.10189289153486,176
1000.0,179000,22.038572257995604,180000,1,38.28816559,743,0.001,-98.21709032440185,73.19312438910512,180
1000.0,183000,18.088434244811534,184000,1,53.29453959000001,761,0.001,-93.74745378875733,76.42746019251041,184
1000.0,187000,22.027947517991066,188000,1,61.326189719999995,760,0.001,-91.16580203247071,76.99360970172319,188
1000.0,191000,18.53873853778839,192000,1,67.77511657999999,757,0.001,-87.16855466461182,80.03047434983931,192
1000.0,195000,15.062842368125915,196000,1,75.11608654,751,0.001,-82.53160121154785,82.55298589710642,196
1000.0,199000,12.971721944689751,200000,1,69.21754407000002,747,0.001,-77.6773642501831,84.22433777155075,200
1000.0,203000,9.934132945358753,204000,1,66.81125929000001,754,0.001,-73.46906216430664,84.72696705752885,204
1000.0,207000,8.074836476385594,208000,1,66.76029673,754,0.001,-69.32153984069824,86.14819980796028,208
1000.0,211000,11.55843090993166,212000,1,86.90136940000001,745,0.001,-67.58890237045289,88.85838470924689,212
1000.0,215000,9.84805107742548,216000,1,97.57326091,752,0.001,-65.33177717971802,89.5802551910572,216
1000.0,219000,11.079912114858628,220000,1,98.92003756,753,0.001,-65.62151881790162,90.81575151789617,220
1000.0,223000,8.323546698451041,224000,1,100.24776702999999,746,0.001,-63.98680667877197,91.04497125308625,224
1000.0,227000,6.8359186691343785,228000,1,106.14502166000003,763,0.001,-59.979445751190184,94.3625455853093,228
1000.0,231000,9.724791580855847,232000,1,90.38949715000001,749,0.001,-56.796104694366456,95.2465369986488,232
1000.0,235000,6.533264537841082,236000,1,78.06050654,731,0.001,-54.06811029815674,96.46825794099897,236
1000.0,239000,5.293273258715868,240000,1,76.25397382,762,0.001,-53.13306945419311,92.07006877236545,240
1000.0,243000,7.476992012172937,244000,1,78.22429331000001,755,0.001,-51.49269733428955,53.959267629497745,244
1000.0,247000,5.099686786532402,248000,1,52.21772817999999,752,0.001,-48.5232433052063,54.748831156961934,248
1000.0,251000,3.285263801187277,252000,1,56.83355085999999,763,0.001,-45.55292771148682,54.01231345651603,252
1000.0,255000,3.2109549074470998,256000,1,60.120286050000004,751,0.001,-42.12500166702271,50.95811761619,256
1000.0,259000,2.3509331897497177,260000,1,73.40699342,740,0.001,-39.30802248001098,50.878306185842035,260
1000.0,263000,2.4160898284614087,264000,1,90.14188201,747,0.001,-37.15460754776001,50.33637729640086,264
1000.0,267000,1.9953723317980767,268000,1,97.44332526999999,751,0.001,-35.75734749221802,47.18640893219009,268
1000.0,271000,2.019127376139164,272000,1,100.30015260999998,747,0.001,-34.76472527313233,44.71554525583059,272
1000.0,275000,1.9048093161433934,276000,1,104.06859859000001,747,0.001,-33.42102394104004,43.50163676961518,276
1000.0,279000,1.8972310931682588,280000,1,93.31477939,750,0.001,-31.982295694351198,42.953800130463485,280
1000.0,283000,1.7621672983765602,284000,1,79.91351338000001,741,0.001,-30.9534091796875,40.10556875194756,284
1000.0,287000,1.7358465629070998,288000,1,70.12853536000001,741,0.001,-30.071406345367432,38.88612614460344,288
1000.0,291000,1.6072041809856892,292000,1,64.96275460000001,733,0.001,-30.01310619544983,36.092750616524235,292
1000.0,295000,2.1363338782787324,296000,1,62.27783546,755,0.001,-32.51736692428589,33.95434138998797,296
1000.0,299000,2.148987962782383,300000,1,89.43502001,728,0.001,-31.8336249294281,36.833077893435515,300
1000.0,303000,1.902227277353406,304000,1,91.06006801,723,0.001,-30.616220920562743,36.69187068293091,304
1000.0,307000,1.5729163328707219,308000,1,105.23127038999999,765,0.001,-30.149729280471803,36.13988163895539,308
1000.0,311000,2.0914467341303826,312000,1,105.43910057000001,758,0.001,-29.653234113693237,34.03658871490477,312
1000.0,315000,1.995960504233837,316000,1,114.24804551,760,0.001,-29.499189598083497,36.24104552743851,316
1000.0,319000,1.7409168582558632,320000,1,127.61908259000002,740,0.001,-30.0417802028656,35.384878306391876,320
1000.0,323000,2.194719947963953,324000,1,150.21262615,740,0.001,-30.657739625930787,36.310297122915856,324
1000.0,327000,2.0140467436313627,328000,1,166.90145404999998,758,0.001,-30.805582139968873,33.68418766470908,328
1000.0,331000,2.2137415901124475,332000,1,187.66676071999998,751,0.001,-30.87585293197632,32.45073291181122,332
1000.0,335000,1.9617450836449861,336000,1,196.69237605999996,731,0.001,-29.579460123062134,32.474452275782774,336
1000.0,339000,1.6650808082669974,340000,1,217.12276149000004,755,0.001,-28.49787603378296,32.383205356662145,340
