raw/disc/disc_entropy,raw/disc/global_step,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_proportion_expert_pred,raw/disc/disc_acc_gen,raw/disc/n_generated,raw/disc/disc_loss,raw/disc/n_expert,raw/disc/disc_acc
0.6922109127044678,1,0.5,0.12890625,0.3125,0.50390625,1024.0,0.7155911922454834,1024.0,0.31640625
0.6923235654830933,1,0.5,0.1630859375,0.1376953125,0.8876953125,1024.0,0.7076492309570312,1024.0,0.525390625
0.6924141049385071,1,0.5,0.2265625,0.134765625,0.95703125,1024.0,0.6994234323501587,1024.0,0.591796875
0.6923847794532776,1,0.5,0.265625,0.15234375,0.9609375,1024.0,0.6915368437767029,1024.0,0.61328125
0.6923110485076904,2,0.5,0.35546875,0.2265625,0.90234375,1024.0,0.6818698644638062,1024.0,0.62890625
0.6921685934066772,2,0.5,0.4697265625,0.2822265625,0.9052734375,1024.0,0.6742954254150391,1024.0,0.6875
0.6918942928314209,2,0.5,0.5458984375,0.3173828125,0.9111328125,1024.0,0.6653420329093933,1024.0,0.728515625
0.6915895938873291,2,0.5,0.6240234375,0.3486328125,0.9267578125,1024.0,0.6570323705673218,1024.0,0.775390625
0.6909793615341187,3,0.5,0.7119140625,0.38671875,0.9384765625,1024.0,0.6464985609054565,1024.0,0.8251953125
0.6904714107513428,3,0.5,0.7685546875,0.41455078125,0.939453125,1024.0,0.6383558511734009,1024.0,0.85400390625
0.6899200677871704,3,0.5,0.80078125,0.41552734375,0.9697265625,1024.0,0.6305167078971863,1024.0,0.88525390625
0.6893630027770996,3,0.5,0.85546875,0.45068359375,0.9541015625,1024.0,0.6240218877792358,1024.0,0.90478515625
0.6880125999450684,4,0.5,0.9052734375,0.458984375,0.9873046875,1024.0,0.6097321510314941,1024.0,0.9462890625
0.6872321963310242,4,0.5,0.9208984375,0.46630859375,0.98828125,1024.0,0.6030169129371643,1024.0,0.95458984375
0.686132550239563,4,0.5,0.95703125,0.48583984375,0.9853515625,1024.0,0.5931516885757446,1024.0,0.97119140625
0.68503338098526,4,0.5,0.9599609375,0.48974609375,0.98046875,1024.0,0.5848104953765869,1024.0,0.97021484375
0.6835662126541138,5,0.5,0.9814453125,0.49853515625,0.984375,1024.0,0.5747981667518616,1024.0,0.98291015625
0.6822797060012817,5,0.5,0.9873046875,0.49853515625,0.990234375,1024.0,0.566498875617981,1024.0,0.98876953125
0.6805543899536133,5,0.5,0.9921875,0.50390625,0.984375,1024.0,0.5559435486793518,1024.0,0.98828125
0.6790152788162231,5,0.5,0.98828125,0.5029296875,0.982421875,1024.0,0.5486705303192139,1024.0,0.9853515625
0.677509069442749,6,0.5,0.9912109375,0.5078125,0.9755859375,1024.0,0.5416250824928284,1024.0,0.9833984375
0.6752346158027649,6,0.5,0.9912109375,0.50537109375,0.98046875,1024.0,0.5306249856948853,1024.0,0.98583984375
0.6726537942886353,6,0.5,0.9970703125,0.5087890625,0.9794921875,1024.0,0.5194464921951294,1024.0,0.98828125
0.6701181530952454,6,0.5,0.998046875,0.5087890625,0.98046875,1024.0,0.5094937086105347,1024.0,0.9892578125
0.6670005321502686,7,0.5,0.99609375,0.50341796875,0.9892578125,1024.0,0.4974471926689148,1024.0,0.99267578125
0.6636167168617249,7,0.5,0.9951171875,0.5048828125,0.9853515625,1024.0,0.4867454767227173,1024.0,0.990234375
0.6604411602020264,7,0.5,0.998046875,0.50830078125,0.9814453125,1024.0,0.4767181873321533,1024.0,0.98974609375
0.6562374830245972,7,0.5,0.9990234375,0.5078125,0.9833984375,1024.0,0.4641079008579254,1024.0,0.9912109375
0.6511606574058533,8,0.5,0.9970703125,0.505859375,0.9853515625,1024.0,0.4498518109321594,1024.0,0.9912109375
0.6466509103775024,8,0.5,0.998046875,0.50732421875,0.9833984375,1024.0,0.439081609249115,1024.0,0.99072265625
0.6414178609848022,8,0.5,0.9970703125,0.50146484375,0.994140625,1024.0,0.424785852432251,1024.0,0.99560546875
0.6363759636878967,8,0.5,1.0,0.50830078125,0.9833984375,1024.0,0.41497093439102173,1024.0,0.99169921875
0.6325551867485046,9,0.5,0.9951171875,0.51025390625,0.974609375,1024.0,0.4097757637500763,1024.0,0.98486328125
0.6260702610015869,9,0.5,0.9951171875,0.505859375,0.9833984375,1024.0,0.39559441804885864,1024.0,0.9892578125
0.6183287501335144,9,0.5,1.0,0.5087890625,0.982421875,1024.0,0.38078421354293823,1024.0,0.9912109375
0.611233115196228,9,0.5,0.998046875,0.5068359375,0.984375,1024.0,0.3688698410987854,1024.0,0.9912109375
0.6035579442977905,10,0.5,0.9970703125,0.505859375,0.9853515625,1024.0,0.3557273745536804,1024.0,0.9912109375
0.5954188108444214,10,0.5,0.9970703125,0.5048828125,0.9873046875,1024.0,0.34314432740211487,1024.0,0.9921875
0.5872019529342651,10,0.5,0.9970703125,0.50390625,0.9892578125,1024.0,0.33108919858932495,1024.0,0.9931640625
0.5774940252304077,10,0.5,0.9990234375,0.51123046875,0.9765625,1024.0,0.3192521035671234,1024.0,0.98779296875
0.594537615776062,11,0.5,0.9951171875,0.5048828125,0.9853515625,1024.0,0.3549591302871704,1024.0,0.990234375
0.585687518119812,11,0.5,0.99609375,0.50732421875,0.9814453125,1024.0,0.34416699409484863,1024.0,0.98876953125
0.5782436728477478,11,0.5,0.998046875,0.5087890625,0.98046875,1024.0,0.33390653133392334,1024.0,0.9892578125
0.5690621733665466,11,0.5,0.99609375,0.50732421875,0.9814453125,1024.0,0.32285448908805847,1024.0,0.98876953125
