raw/disc/n_generated,raw/disc/disc_acc_gen,raw/disc/disc_entropy,raw/disc/global_step,raw/disc/disc_proportion_expert_pred,raw/disc/disc_acc,raw/disc/disc_proportion_expert_true,raw/disc/disc_loss,raw/disc/n_expert,raw/disc/disc_acc_expert
1024.0,0.8603515625,0.6916419267654419,1,0.06982421875,0.43017578125,0.5,0.7086732983589172,1024.0,0.0
1024.0,0.931640625,0.6917606592178345,1,0.03466796875,0.46630859375,0.5,0.7030079960823059,1024.0,0.0009765625
1024.0,0.931640625,0.6917515993118286,1,0.03466796875,0.46630859375,0.5,0.6972925662994385,1024.0,0.0009765625
1024.0,0.9560546875,0.69182288646698,1,0.02197265625,0.47802734375,0.5,0.6925997734069824,1024.0,0.0
1024.0,0.9677734375,0.6917407512664795,2,0.01904296875,0.48681640625,0.5,0.6865243911743164,1024.0,0.005859375
1024.0,0.978515625,0.691710352897644,2,0.02197265625,0.50048828125,0.5,0.6820321083068848,1024.0,0.0224609375
1024.0,0.9794921875,0.6916103363037109,2,0.05078125,0.5302734375,0.5,0.6772118806838989,1024.0,0.0810546875
1024.0,0.9873046875,0.6914765238761902,2,0.0712890625,0.55859375,0.5,0.6731298565864563,1024.0,0.1298828125
1024.0,0.97265625,0.691555380821228,3,0.115234375,0.587890625,0.5,0.6724613308906555,1024.0,0.203125
1024.0,0.9765625,0.691392183303833,3,0.16162109375,0.63818359375,0.5,0.6673139333724976,1024.0,0.2998046875
1024.0,0.9794921875,0.6912952065467834,3,0.19921875,0.6787109375,0.5,0.6646379232406616,1024.0,0.3779296875
1024.0,0.9921875,0.690934419631958,3,0.23291015625,0.72509765625,0.5,0.6588250398635864,1024.0,0.4580078125
1024.0,0.9716796875,0.6908023357391357,4,0.2587890625,0.73046875,0.5,0.6580429077148438,1024.0,0.4892578125
1024.0,0.966796875,0.6906101703643799,4,0.31005859375,0.77685546875,0.5,0.6526898741722107,1024.0,0.5869140625
1024.0,0.978515625,0.6901999115943909,4,0.33984375,0.818359375,0.5,0.6463179588317871,1024.0,0.658203125
1024.0,0.96875,0.6898475885391235,4,0.36181640625,0.83056640625,0.5,0.6430797576904297,1024.0,0.6923828125
1024.0,0.9853515625,0.6899973154067993,5,0.35791015625,0.84326171875,0.5,0.6435299515724182,1024.0,0.701171875
1024.0,0.986328125,0.6897335052490234,5,0.3916015625,0.8779296875,0.5,0.6380865573883057,1024.0,0.76953125
