mean/gen/train/critic_loss,mean/disc/disc_proportion_expert_pred,mean/disc/disc_loss,mean/disc/disc_proportion_expert_true,mean/gen/train/actor_loss,mean/disc/global_step,mean/gen/train/learning_rate,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_acc_gen,mean/gen/train/n_updates,mean/gen/rollout/ep_rew_wrapped_mean,mean/gen/time/episodes,mean/gen/time/fps,mean/gen/time/time_elapsed,mean/gen/time/total_timesteps
0.004585676794929896,0.184326171875,0.703550174832344,0.5,-2.814778903901577,1.0,0.001,0.51171875,1024.0,1024.0,0.6923333406448364,0.196044921875,0.827392578125,1000.0,,,,,
0.012777741364960094,0.293701171875,0.6696349233388901,0.5,-7.01929529428482,2.0,0.001,0.705078125,1024.0,1024.0,0.6919908821582794,0.498779296875,0.911376953125,2000.0,675.140150219202,,,,
0.012622990400297567,0.4168701171875,0.6348482519388199,0.5,-10.835688102722168,3.0,0.001,0.8673095703125,1024.0,1024.0,0.6901834607124329,0.7841796875,0.950439453125,3000.0,667.0863328427076,,,,
0.015683000689954495,0.4752197265625,0.5976778119802475,0.5,-13.863358458518983,4.0,0.001,0.9605712890625,1024.0,1024.0,0.6866026818752289,0.935791015625,0.9853515625,4000.0,646.648094167312,4.0,563.0,1.0,4000.0
0.016783855158020743,0.5009765625,0.561477780342102,0.5,-16.690124888420105,5.0,0.001,0.986328125,1024.0,1024.0,0.681353896856308,0.9873046875,0.9853515625,5000.0,628.1413361057639,,,,
0.01785202753962949,0.5076904296875,0.5252975672483444,0.5,-18.99237180519104,6.0,0.001,0.9866943359375,1024.0,1024.0,0.6738789081573486,0.994384765625,0.97900390625,6000.0,609.9548313617706,,,,
0.02535281552840024,0.506103515625,0.4812546893954277,0.5,-21.224274785995483,7.0,0.001,0.990966796875,1024.0,1024.0,0.6618239730596542,0.9970703125,0.98486328125,7000.0,594.0899498810371,,,,
0.05855128185497597,0.5057373046875,0.4321725517511368,0.5,-23.185286432266235,8.0,0.001,0.9923095703125,1024.0,1024.0,0.6439013481140137,0.998046875,0.986572265625,8000.0,575.5367868372372,8.0,557.0,1.0,8000.0
0.06619552904274315,0.5079345703125,0.38875605911016464,0.5,-24.780851825714112,9.0,0.001,0.9891357421875,1024.0,1024.0,0.6220468282699585,0.9970703125,0.981201171875,9000.0,556.8642341978848,,,,
0.06640529266558587,0.5064697265625,0.3373032510280609,0.5,-26.174362356185913,10.0,0.001,0.9910888671875,1024.0,1024.0,0.5909181833267212,0.99755859375,0.984619140625,10000.0,538.5689940883053,,,,
0.08582548917131498,0.507080078125,0.3389717862010002,0.5,-28.292505582809447,11.0,0.001,0.9892578125,1024.0,1024.0,0.5818827450275421,0.996337890625,0.982177734375,11000.0,517.548332080245,,,,
0.08617635984998197,0.5064697265625,0.29461249709129333,0.5,-30.255883275985717,12.0,0.001,0.9908447265625,1024.0,1024.0,0.5479154139757156,0.997314453125,0.984375,12000.0,516.2254524041306,12.0,574.0,1.0,12000.0
0.12238150846213103,0.5084228515625,0.24866647645831108,0.5,-33.54292935371399,13.0,0.001,0.9896240234375,1024.0,1024.0,0.5000579282641411,0.998046875,0.981201171875,13000.0,495.9756009404858,,,,
0.1297334242593497,0.5152587890625,0.26404256373643875,0.5,-37.808376178741455,14.0,0.001,0.9840087890625,1024.0,1024.0,0.5010731890797615,0.999267578125,0.96875,14000.0,487.25797015141984,,,,
0.12911193082295358,0.506591796875,0.23895922303199768,0.5,-40.0380138130188,15.0,0.001,0.991943359375,1024.0,1024.0,0.4797799810767174,0.99853515625,0.9853515625,15000.0,484.6983995858048,,,,
0.12487089643348008,0.5042724609375,0.18758776411414146,0.5,-41.41192991638184,16.0,0.001,0.9940185546875,1024.0,1024.0,0.4293847754597664,0.998291015625,0.98974609375,16000.0,477.7233281696836,16.0,562.0,1.0,16000.0
0.22991816764883696,0.499755859375,0.13028219901025295,0.5,-43.30228368377686,17.0,0.001,0.997802734375,1024.0,1024.0,0.3440857008099556,0.99755859375,0.998046875,17000.0,465.59374468633905,,,,
0.15422055800631643,0.4989013671875,0.09160871617496014,0.5,-44.32642535400391,18.0,0.001,0.9984130859375,1024.0,1024.0,0.2740812450647354,0.997314453125,0.99951171875,18000.0,447.0258133285405,,,,
0.18112303848750888,0.4996337890625,0.06325822323560715,0.5,-44.91944719314575,19.0,0.001,0.9984130859375,1024.0,1024.0,0.21031048148870468,0.998046875,0.998779296875,19000.0,427.6509270917417,,,,
0.19582951661199333,0.5001220703125,0.04463376011699438,0.5,-44.968530059814455,20.0,0.001,0.9996337890625,1024.0,1024.0,0.1602337285876274,0.999755859375,0.99951171875,20000.0,407.6066191274869,20.0,573.0,1.0,20000.0
0.19133955989405513,0.5006103515625,0.035863522440195084,0.5,-44.91396773529053,21.0,0.001,0.9991455078125,1024.0,1024.0,0.13215507194399834,0.999755859375,0.99853515625,21000.0,388.99281425834636,,,,
