raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/n_updates,raw/gen/time/total_timesteps,raw/gen/time/fps,raw/gen/train/actor_loss,raw/gen/time/episodes,raw/gen/time/time_elapsed,raw/gen/train/critic_loss,raw/gen/train/learning_rate
646.648094167312,3000,4000,563,-10.835688102722168,4,1,0.012622990400297567,0.001
575.5367868372372,7000,8000,557,-21.224274785995483,8,1,0.02535281552840024,0.001
516.2254524041306,11000,12000,574,-28.292505582809447,12,1,0.08582548917131498,0.001
477.7233281696836,15000,16000,562,-40.0380138130188,16,1,0.12911193082295358,0.001
407.6066191274869,19000,20000,573,-44.91944719314575,20,1,0.18112303848750888,0.001
341.6055182085332,23000,24000,569,-44.67644859313965,24,1,0.20659872976318003,0.001
294.07444602692567,27000,28000,571,-42.727533435821535,28,1,0.23387999192625283,0.001
258.6025652904824,31000,32000,587,-42.53792358398437,32,1,0.24142944821715354,0.001
230.9613082588692,35000,36000,605,-41.40198959350586,36,1,0.290814709790051,0.001
209.32766608105607,39000,40000,570,-40.75264121246338,40,1,0.2748023319095373,0.001
190.59689165499782,43000,44000,588,-39.21310102844238,44,1,0.2818736910969019,0.001
174.90073081416398,47000,48000,600,-37.31100382614136,48,1,0.30087640914320946,0.001
161.52162395421456,51000,52000,601,-36.532785907745364,52,1,0.2902479085624218,0.001
149.97125452472457,55000,56000,599,-36.47086164474487,56,1,0.32807988883554934,0.001
140.04020588981507,59000,60000,594,-35.13050953674316,60,1,0.3875627803057432,0.001
131.30806309871807,63000,64000,602,-34.0291196937561,64,1,0.4104243396669626,0.001
123.58423384567708,67000,68000,588,-32.89779753684998,68,1,0.38068473764508964,0.001
116.74019082102234,71000,72000,599,-31.964868724823,72,1,0.4472454971373081,0.001
110.67712726068055,75000,76000,592,-32.850321432113645,76,1,0.4159181918501854,0.001
105.20105304383684,79000,80000,599,-32.90298773765564,80,1,0.38378683883696796,0.001
100.23247588727965,83000,84000,590,-30.75563540649414,84,1,0.31750761469453576,0.001
95.70721672983858,87000,88000,600,-28.72832297325134,88,1,0.30892841930687426,0.001
91.5698654098959,91000,92000,593,-26.717997829437255,92,1,0.2821523253470659,0.001
87.76126804924306,95000,96000,592,-24.792782960891724,96,1,0.2935947021692991,0.001
84.25782395177058,99000,100000,599,-23.311479593276978,100,1,0.27618108278512954,0.001
64.05637994216262,103000,104000,585,-22.128248989105224,104,1,0.28147483936697243,0.001
43.325243496475515,107000,108000,594,-22.00020855331421,108,1,0.312336035579443,0.001
26.998501608925896,111000,112000,608,-22.128477476119993,112,1,0.39459286780655384,0.001
12.252830119723779,115000,116000,606,-22.259989294052126,116,1,0.40088905788958074,0.001
6.560311026080082,119000,120000,611,-22.414719779968262,120,1,0.37696281058341263,0.001
5.524250736648433,123000,124000,603,-22.910044191360473,124,1,0.33437663497030734,0.001
4.746948300345905,127000,128000,609,-22.04885728645325,128,1,0.25649894128367307,0.001
4.0213314716614965,131000,132000,609,-20.621920066833496,132,1,0.20443334909901023,0.001
3.3934105396227006,135000,136000,600,-19.457214460372924,136,1,0.20488724629580973,0.001
2.6257129919191664,139000,140000,601,-18.61682597541809,140,1,0.23578085523843764,0.001
2.3388062761106396,143000,144000,593,-17.99713666152954,144,1,0.2167021036632359,0.001
2.1217102110883928,147000,148000,615,-16.904546242713927,148,1,0.18875049681216477,0.001
1.9560912689857717,151000,152000,611,-15.616398215293884,152,1,0.20452118858695031,0.001
1.8517143165429868,155000,156000,603,-15.04714881515503,156,1,0.23771717010065913,0.001
1.7171322553750397,159000,160000,627,-14.29715022277832,160,1,0.19225993644073605,0.001
1.621843181143661,163000,164000,610,-13.577146555900574,164,1,0.24709405180439353,0.001
1.5485045874341006,167000,168000,624,-12.992995624542237,168,1,0.2398532787114382,0.001
1.4691053598485107,171000,172000,605,-12.645458166122436,172,1,0.2175265290364623,0.001
1.3749291798166,175000,176000,604,-12.09228482246399,176,1,0.22461052734591067,0.001
1.3094013434331506,179000,180000,615,-11.538826436042786,180,1,0.21999200083315373,0.001
1.2603814788966752,183000,184000,629,-11.473597396850586,184,1,0.18843062342330813,0.001
1.224922064531521,187000,188000,605,-11.405652135849,188,1,0.17761286003887652,0.001
1.175638620913483,191000,192000,617,-10.75584013080597,192,1,0.20747557654604315,0.001
1.1384909228581241,195000,196000,604,-10.149149740219116,196,1,0.2596616931185126,0.001
1.1054473052214469,199000,200000,607,-9.402509760379791,200,1,0.2531799126639962,0.001
1.075366306157086,203000,204000,609,-8.536148351192475,204,1,0.12775687542371453,0.001
0.926530484535657,207000,208000,597,-8.063605015277863,208,1,0.16512682500295342,0.001
0.7627658357852252,211000,212000,583,-7.740685371398926,212,1,0.2646574411932379,0.001
0.6456061530916224,215000,216000,604,-7.653536402702332,216,1,0.2350151042509824,0.001
0.5550789819979347,219000,220000,607,-7.319514925956726,220,1,0.16983384357206524,0.001
0.48080509391230336,223000,224000,617,-7.086729932308197,224,1,0.1312875499818474,0.001
0.43913786794960274,227000,228000,618,-6.9147398219108585,228,1,0.09887671366147698,0.001
0.4093224109248267,231000,232000,623,-6.609970390796661,232,1,0.09191554192453623,0.001
0.3753884887911637,235000,236000,614,-6.486815582752228,236,1,0.0805484988251701,0.001
0.3515588639311609,239000,240000,609,-6.513629726409912,240,1,0.07558227113354951,0.001
0.32910734519086376,243000,244000,619,-6.144681367874146,244,1,0.06871120992396026,0.001
0.3152311917131814,247000,248000,616,-6.1139018201828,248,1,0.06509647665452212,0.001
0.3222885276053763,251000,252000,602,-5.812015506267548,252,1,0.07383811942394823,0.001
