raw/disc/disc_proportion_expert_true,raw/disc/n_generated,raw/disc/disc_acc,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/global_step,raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/disc_acc_expert,raw/disc/disc_entropy
0.5,1024.0,0.9951171875,0.4951171875,1024.0,1,1.0,0.6567763686180115,0.990234375,0.6912838816642761
0.5,1024.0,0.99462890625,0.49462890625,1024.0,1,1.0,0.6487472057342529,0.9892578125,0.6909320950508118
0.5,1024.0,0.998046875,0.498046875,1024.0,1,1.0,0.6416565179824829,0.99609375,0.6904779672622681
0.5,1024.0,0.99755859375,0.49755859375,1024.0,1,1.0,0.635654866695404,0.9951171875,0.690095841884613
0.5,1024.0,0.99951171875,0.49951171875,1024.0,2,1.0,0.6283219456672668,0.9990234375,0.6894116997718811
0.5,1024.0,1.0,0.5,1024.0,2,1.0,0.6231943368911743,1.0,0.6891002058982849
0.5,1024.0,0.99951171875,0.49951171875,1024.0,2,1.0,0.6162647604942322,0.9990234375,0.6884481906890869
0.5,1024.0,0.99853515625,0.49853515625,1024.0,2,1.0,0.6086192727088928,0.9970703125,0.6875065565109253
0.5,1024.0,1.0,0.5,1024.0,3,1.0,0.6051172018051147,1.0,0.6869498491287231
0.5,1024.0,1.0,0.5,1024.0,3,1.0,0.6004115343093872,1.0,0.6863371133804321
0.5,1024.0,0.9990234375,0.4990234375,1024.0,3,1.0,0.5936861038208008,0.998046875,0.6854636073112488
0.5,1024.0,0.9990234375,0.4990234375,1024.0,3,1.0,0.5895054936408997,0.998046875,0.6850259900093079
0.5,1024.0,0.87353515625,0.62353515625,1024.0,4,0.75,0.5949321985244751,0.9970703125,0.6839884519577026
0.5,1024.0,0.8623046875,0.6357421875,1024.0,4,0.7265625,0.591981828212738,0.998046875,0.6837398409843445
0.5,1024.0,0.86669921875,0.63134765625,1024.0,4,0.7353515625,0.5852876901626587,0.998046875,0.6825196743011475
0.5,1024.0,0.875,0.623046875,1024.0,4,0.751953125,0.5773306488990784,0.998046875,0.6815372705459595
0.5,1024.0,0.90087890625,0.59814453125,1024.0,5,0.802734375,0.5750735998153687,0.9990234375,0.6806315779685974
0.5,1024.0,0.99658203125,0.49658203125,1024.0,5,1.0,0.5675186514854431,0.9931640625,0.6797417998313904
0.5,1024.0,0.99853515625,0.49853515625,1024.0,5,1.0,0.5605298280715942,0.9970703125,0.6782549619674683
0.5,1024.0,0.9990234375,0.4990234375,1024.0,5,1.0,0.5548500418663025,0.998046875,0.6769803762435913
0.5,1024.0,0.9990234375,0.4990234375,1024.0,6,1.0,0.5530341863632202,0.998046875,0.6756627559661865
0.5,1024.0,0.99755859375,0.49755859375,1024.0,6,1.0,0.5495883226394653,0.9951171875,0.675410807132721
0.5,1024.0,0.998046875,0.498046875,1024.0,6,1.0,0.5384708642959595,0.99609375,0.672028124332428
0.5,1024.0,0.9970703125,0.4970703125,1024.0,6,1.0,0.5345033407211304,0.994140625,0.671501636505127
0.5,1024.0,0.92822265625,0.56787109375,1024.0,7,0.8603515625,0.5457810163497925,0.99609375,0.668720006942749
0.5,1024.0,0.93115234375,0.56005859375,1024.0,7,0.87109375,0.5384084582328796,0.9912109375,0.6676806211471558
0.5,1024.0,0.91552734375,0.57373046875,1024.0,7,0.841796875,0.5386289954185486,0.9892578125,0.666435956954956
0.5,1024.0,0.927734375,0.56640625,1024.0,7,0.861328125,0.526803731918335,0.994140625,0.6635410785675049
0.5,1024.0,0.861328125,0.6337890625,1024.0,8,0.7275390625,0.5448090434074402,0.9951171875,0.6592427492141724
0.5,1024.0,0.888671875,0.607421875,1024.0,8,0.78125,0.5274796485900879,0.99609375,0.6579633951187134
0.5,1024.0,0.87548828125,0.61865234375,1024.0,8,0.7568359375,0.5249263048171997,0.994140625,0.6559111475944519
0.5,1024.0,0.87158203125,0.61767578125,1024.0,8,0.75390625,0.5163529515266418,0.9892578125,0.6532779335975647
0.5,1024.0,0.8291015625,0.6591796875,1024.0,9,0.669921875,0.5146485567092896,0.98828125,0.6523744463920593
0.5,1024.0,0.822265625,0.66796875,1024.0,9,0.654296875,0.5093574523925781,0.990234375,0.6518763303756714
0.5,1024.0,0.88671875,0.6005859375,1024.0,9,0.7861328125,0.49560922384262085,0.9873046875,0.6475722789764404
0.5,1024.0,0.88427734375,0.60791015625,1024.0,9,0.7763671875,0.48359429836273193,0.9921875,0.6447446346282959
0.5,1024.0,0.8564453125,0.6298828125,1024.0,10,0.7265625,0.4868285655975342,0.986328125,0.6445654630661011
