raw/disc/disc_acc_gen,raw/disc/disc_acc_expert,raw/disc/disc_loss,raw/disc/disc_acc,raw/disc/global_step,raw/disc/disc_entropy,raw/disc/n_generated,raw/disc/disc_proportion_expert_pred,raw/disc/disc_proportion_expert_true,raw/disc/n_expert
0.0,1.0,0.7034009099006653,0.5,1,0.686965823173523,1024.0,1.0,0.5,1024.0
0.0,1.0,0.699350118637085,0.5,1,0.6872624754905701,1024.0,1.0,0.5,1024.0
0.0009765625,1.0,0.6950620412826538,0.50048828125,1,0.687758207321167,1024.0,0.99951171875,0.5,1024.0
0.001953125,1.0,0.6887770891189575,0.5009765625,1,0.6880936622619629,1024.0,0.9990234375,0.5,1024.0
0.0,1.0,0.691358208656311,0.5,2,0.687767505645752,1024.0,1.0,0.5,1024.0
0.0009765625,1.0,0.6869600415229797,0.50048828125,2,0.6879718899726868,1024.0,0.99951171875,0.5,1024.0
0.001953125,1.0,0.6822675466537476,0.5009765625,2,0.6881574988365173,1024.0,0.9990234375,0.5,1024.0
0.0029296875,1.0,0.6794936656951904,0.50146484375,2,0.6882904767990112,1024.0,0.99853515625,0.5,1024.0
0.01171875,1.0,0.6779466867446899,0.505859375,3,0.6882287263870239,1024.0,0.994140625,0.5,1024.0
0.0078125,1.0,0.6737817525863647,0.50390625,3,0.6881923675537109,1024.0,0.99609375,0.5,1024.0
0.0185546875,1.0,0.6689081788063049,0.50927734375,3,0.6882209777832031,1024.0,0.99072265625,0.5,1024.0
0.017578125,1.0,0.6634618043899536,0.5087890625,3,0.6880600452423096,1024.0,0.9912109375,0.5,1024.0
0.0361328125,1.0,0.646955132484436,0.51806640625,4,0.6885029077529907,1024.0,0.98193359375,0.5,1024.0
0.0380859375,1.0,0.6416957974433899,0.51904296875,4,0.6884745359420776,1024.0,0.98095703125,0.5,1024.0
0.0419921875,1.0,0.6342366933822632,0.52099609375,4,0.6880855560302734,1024.0,0.97900390625,0.5,1024.0
0.5234375,1.0,0.627733588218689,0.76171875,4,0.6876941919326782,1024.0,0.73828125,0.5,1024.0
0.5126953125,1.0,0.6445624828338623,0.75634765625,5,0.6863762140274048,1024.0,0.74365234375,0.5,1024.0
0.5107421875,1.0,0.6396292448043823,0.75537109375,5,0.6863325834274292,1024.0,0.74462890625,0.5,1024.0
0.515625,1.0,0.6329020261764526,0.7578125,5,0.6860285997390747,1024.0,0.7421875,0.5,1024.0
0.5400390625,1.0,0.62249755859375,0.77001953125,5,0.6852419376373291,1024.0,0.72998046875,0.5,1024.0
0.04296875,1.0,0.6452909708023071,0.521484375,6,0.6851496696472168,1024.0,0.978515625,0.5,1024.0
0.0517578125,1.0,0.6370316743850708,0.52587890625,6,0.6851289868354797,1024.0,0.97412109375,0.5,1024.0
0.0478515625,1.0,0.6282836198806763,0.52392578125,6,0.6845670938491821,1024.0,0.97607421875,0.5,1024.0
0.0673828125,1.0,0.6189972758293152,0.53369140625,6,0.6840725541114807,1024.0,0.96630859375,0.5,1024.0
0.20703125,0.9990234375,0.6126604080200195,0.60302734375,7,0.6838446855545044,1024.0,0.89599609375,0.5,1024.0
0.9541015625,1.0,0.6020145416259766,0.97705078125,7,0.6829878091812134,1024.0,0.52294921875,0.5,1024.0
0.9814453125,1.0,0.5929971933364868,0.99072265625,7,0.6821620464324951,1024.0,0.50927734375,0.5,1024.0
0.9970703125,1.0,0.5849547386169434,0.99853515625,7,0.6815137267112732,1024.0,0.50146484375,0.5,1024.0
0.998046875,0.9990234375,0.5799568891525269,0.99853515625,8,0.6798723340034485,1024.0,0.50048828125,0.5,1024.0
0.9990234375,0.998046875,0.5730807185173035,0.99853515625,8,0.6792552471160889,1024.0,0.49951171875,0.5,1024.0
0.9970703125,0.9990234375,0.563414454460144,0.998046875,8,0.6775643825531006,1024.0,0.5009765625,0.5,1024.0
1.0,0.998046875,0.5551145076751709,0.9990234375,8,0.6760762929916382,1024.0,0.4990234375,0.5,1024.0
1.0,0.998046875,0.5540487766265869,0.9990234375,9,0.6754645109176636,1024.0,0.4990234375,0.5,1024.0
1.0,0.9951171875,0.5457102656364441,0.99755859375,9,0.6739245653152466,1024.0,0.49755859375,0.5,1024.0
0.9990234375,0.9990234375,0.535574734210968,0.9990234375,9,0.6721099019050598,1024.0,0.5,0.5,1024.0
1.0,0.9970703125,0.5242120027542114,0.99853515625,9,0.6692277789115906,1024.0,0.49853515625,0.5,1024.0
