#{"t_start": 1657269984.756149, "env_id": "Walker2d-v2"}
return,length,time
85.402935,103,22.438012
84.508879,103,22.960723
83.844324,101,23.403533
85.276155,105,23.915115
87.03898,104,24.474157
107.049036,121,25.059305
289.026316,266,26.452926
118.950609,231,27.606999
111.721082,125,28.227504
81.239267,98,28.679385
95.479361,116,29.302387
245.203546,229,30.391217
88.622953,107,30.871918
281.294235,258,32.153006
206.323677,223,33.28738
110.567502,127,33.897274
93.856757,110,34.60171
178.216058,172,35.706775
83.08836,105,36.337469
98.720535,114,36.91256
0.780642,27,88.126206
0.567909,26,88.238114
0.707713,27,88.369016
0.938373,27,88.497517
0.156946,26,88.622218
0.308779,26,88.735071
0.215098,26,88.868212
0.974035,27,88.980418
0.590739,27,89.103616
0.281499,26,89.224399
0.242347,26,89.342015
0.258778,26,89.450116
0.440684,26,89.579482
0.064776,26,89.703434
0.210818,26,89.857221
0.154648,26,90.007994
0.882836,27,90.131956
0.215039,26,90.234812
-0.091957,26,90.337306
0.601793,26,90.449414
-0.214836,25,126.893924
-0.156835,25,127.011626
-0.491408,24,127.161255
-1.0113,24,127.294295
-0.432459,25,127.41844
-0.830152,24,127.531929
-0.421303,25,127.660866
-0.894439,24,127.775566
-0.895575,24,127.875567
0.003544,25,127.983407
-0.815692,24,128.091012
-0.977856,24,128.226162
-1.060613,24,128.348794
-1.027159,24,128.472602
-0.730936,24,128.586549
-0.784665,24,128.700702
-0.129525,25,128.824566
-0.797498,24,128.936235
-0.750451,24,129.078548
-0.271712,25,129.206848
-6.178518,55,168.612449
-6.448011,55,168.868412
-6.799467,52,169.142752
-5.083427,54,169.387735
-7.055695,52,169.632196
-5.724855,53,169.886619
-6.69765,51,170.097242
-5.719651,54,170.316308
-6.567987,55,170.602566
-6.784009,49,170.787642
-6.033462,54,171.031656
-7.345831,54,171.293215
-6.486117,54,171.536289
-5.596907,53,171.767687
-6.65388,54,172.023879
-5.970376,54,172.250085
-6.839531,54,172.476275
-6.155594,53,172.743354
-5.462526,55,172.97212
-6.764834,50,173.210873
-4.667478,49,210.823006
-3.814151,45,211.039564
-3.087134,45,211.268037
-4.622564,47,211.4653
-3.994028,45,211.668809
-4.430796,44,211.874941
-4.501245,45,212.104166
-4.280978,45,212.293456
-3.408739,45,212.505541
-3.640108,46,212.739216
-4.44225,49,212.986131
-4.700347,48,213.284625
-3.88038,45,213.528467
-4.660603,45,213.750516
-4.350262,45,214.013809
-3.633782,45,214.284316
-3.782387,45,214.493071
-4.91543,49,214.727911
-4.66722,45,214.955475
-4.161504,45,215.181787
-4.255664,47,258.582659
-3.987975,47,258.803073
-4.375756,47,259.007419
-4.067089,46,259.214122
-3.952506,47,259.426515
-4.229938,47,259.641131
-4.194664,47,259.849455
-4.027701,46,260.074748
-4.420883,46,260.293673
-4.335854,47,260.523813
-3.61715,46,260.749875
-4.026142,46,260.967
-3.953205,46,261.226181
-4.341563,47,261.449234
-4.24712,46,261.667663
-3.981907,47,261.894701
-4.21171,46,262.127487
-4.410838,47,262.338956
-3.820732,46,262.556648
-4.12456,47,262.750403
-6.434704,41,300.383796
-5.956438,44,300.584776
-4.77422,43,300.772403
-5.809811,43,300.994601
-4.427637,44,301.174992
-4.648639,45,301.41727
-5.17293,43,301.620107
-5.268732,45,301.839603
-5.183889,45,302.056262
-5.573761,45,302.254116
-4.818115,42,302.439341
-4.414033,44,302.558616
-5.990548,42,302.756703
-4.820287,43,302.943448
-4.170934,43,303.150192
-4.82638,43,303.352948
-4.712092,45,303.578948
-5.020927,43,303.741486
-4.846528,44,303.948801
-4.606562,44,304.15923
-0.502885,76,341.291481
3.093095,78,341.645984
1.981543,75,342.013723
3.979817,75,342.342935
-2.793464,75,342.66392
-2.210962,75,342.965628
1.158255,75,343.314349
2.980327,77,343.62088
-0.347079,70,343.93049
3.398388,75,344.291055
0.814319,78,344.635174
2.428664,74,345.024199
1.33193,77,345.370664
-1.818147,75,345.721452
0.272846,76,346.078392
2.133609,77,346.453549
3.872121,78,346.76835
-1.878644,76,347.184592
-0.890413,77,347.531934
-0.554837,77,347.860738
-1.937735,117,383.673395
20.503383,89,384.061445
19.513715,88,384.404885
19.473593,88,384.757908
0.342223,127,385.280535
20.000548,87,385.675715
19.912229,88,386.023795
16.491186,138,386.710353
20.063518,88,387.085927
1.80972,122,387.69234
17.189701,141,388.300249
5.194602,135,388.945977
2.055942,124,389.531088
21.266135,87,389.911926
-1.463074,119,390.503003
21.101216,88,390.891862
19.51509,88,391.303941
-1.624163,124,391.854149
15.009076,138,392.408907
0.512396,121,392.947937
256.091608,150,430.86224
196.943755,113,431.38669
202.401017,117,431.984778
199.75756,115,432.483515
204.076198,118,433.042652
198.787764,114,433.605532
199.531987,115,434.114395
205.407019,118,434.67568
