#{"t_start": 1657269984.7378955, "env_id": "Walker2d-v2"}
return,length,time
2.908504,23,37.469223
-2.151543,17,37.566999
1.841026,22,37.678026
4.547996,18,37.764959
-2.687709,15,37.840629
-0.110485,25,37.964958
-8.187039,21,38.088892
1.579906,18,38.193316
1.173012,10,38.244854
4.317039,17,38.334083
4.87045,39,38.531794
17.593695,47,38.768421
-0.104226,22,38.94697
-3.600471,14,39.073449
-4.68783,8,39.147397
-1.254058,10,39.238126
2.820002,14,39.338595
-4.882879,26,39.524091
-7.524455,28,39.696346
-5.097283,10,39.759187
1.57102,14,39.845463
2.841579,19,39.970399
1.650671,21,40.097772
17.004309,44,40.3968
-5.571716,13,40.494044
-2.801982,10,40.574483
-1.114735,11,40.666769
1.728243,28,40.83157
-0.003182,26,40.974429
-0.809798,44,41.255229
-8.084682,16,41.340573
-1.644413,19,41.445587
-5.15728,35,41.625493
-3.034306,13,41.694884
-2.414932,15,41.76769
1.455928,11,41.823824
-1.120064,12,41.882792
-0.038391,11,41.938598
-2.496523,15,42.017909
-10.432218,16,42.091374
2.701673,18,42.17657
0.770508,19,42.301659
-2.173441,17,42.407043
10.899889,26,42.575222
-0.587868,10,42.639485
2.548757,17,42.742831
-2.573607,12,42.813545
-2.065473,10,42.880772
-1.839746,12,42.95699
-1.249065,26,43.11569
-5.371766,9,43.179335
-0.327046,16,43.278195
-4.957099,13,56.174618
-0.079239,28,56.326206
-4.628267,25,56.489834
0.850071,22,56.627688
3.743903,25,56.766391
-6.733972,12,56.795103
-0.909505,13,56.842683
-3.421932,25,56.978327
-1.320832,11,57.035959
-4.568502,7,57.078856
1.167105,14,57.144688
5.63613,27,57.26245
-4.32573,21,57.370438
2.278655,18,57.453223
-3.916224,11,57.509682
-1.575335,17,57.598702
-10.576952,18,57.691798
-7.864351,21,57.820363
2.108006,11,57.871165
-1.21734,13,57.939871
-0.447975,24,58.064774
1.687091,17,58.149472
0.11652,12,58.212299
1.24048,29,58.386583
2.22217,19,58.486932
0.403147,12,58.538933
-4.630964,8,58.580669
-5.176763,14,58.647039
-2.956509,9,58.694749
-4.185984,22,58.83196
2.185483,16,58.912872
-4.404729,15,58.993992
-3.468234,14,59.094236
-3.284269,9,59.161057
2.322668,20,59.287949
-4.493961,14,59.370385
-0.388409,18,59.473821
-2.617491,18,59.57395
3.434436,20,59.694617
-0.567561,24,59.814651
-6.802462,23,59.969472
-1.162162,11,60.034004
1.682797,17,60.109474
0.899197,19,60.197633
-1.618896,21,60.319356
11.890088,36,60.529502
-3.023632,7,60.578797
-2.691269,10,60.658566
-2.430518,10,60.726716
-6.130616,31,60.946302
-5.212239,13,61.017792
2.608492,19,61.135192
-4.394199,9,61.181151
-6.820371,9,61.240756
-5.793772,13,61.311445
-2.521943,13,61.380034
-3.279177,8,61.419875
1.671544,15,61.50222
-2.451024,9,61.555123
4.914762,21,61.684936
-5.734272,10,61.794025
16.677832,31,63.933874
1.496396,18,64.053064
-0.608131,14,64.140496
1.186759,13,64.221915
-14.048015,17,64.332819
-4.73253,12,64.402739
-3.858996,9,64.459516
1.659135,14,64.549149
-5.290473,23,64.660082
-6.912821,16,64.740652
-1.791294,15,64.811702
-0.28649,11,64.871348
-1.080245,14,64.948527
7.978518,26,65.074972
-6.149389,22,65.185942
2.726039,25,65.312598
-7.299449,13,65.382994
-3.709161,17,65.466955
-6.809595,12,65.529985
-3.594245,10,65.58635
0.93783,16,65.674343
-2.916164,10,65.732258
3.067407,19,65.837956
2.79026,19,65.93258
0.589428,15,66.011358
0.647354,18,66.128407
-6.714314,9,66.185715
-4.537766,7,66.222785
0.511592,10,66.283131
-6.900904,14,66.373377
-2.206395,13,66.433125
-10.082206,16,66.517649
-0.642514,11,66.570446
