#{"t_start": 1640213117.5729923, "env_id": "Walker2d-v2"}
return,length,time
2.908504,23,22.488662
-2.151543,17,22.647529
1.841026,22,22.771731
4.547996,18,22.80936
-2.687709,15,22.862945
-0.110485,25,22.893379
-8.187039,21,22.929116
1.579906,18,23.006011
1.173012,10,23.062985
4.317039,17,23.112669
4.87045,39,23.265788
17.593695,47,23.416204
-0.104226,22,23.512158
-3.600471,14,23.656696
-4.68783,8,23.735014
-1.254058,10,23.795318
2.820002,14,23.858071
-4.882879,26,23.996422
-7.524455,28,24.155997
-5.097283,10,24.201056
1.57102,14,24.275527
2.841579,19,24.405745
1.650671,21,24.486081
17.004309,44,24.685079
-5.571716,13,24.723601
-2.801982,10,24.80353
-1.114735,11,24.921091
1.728243,28,25.031482
-0.003182,26,25.200775
-0.809798,44,25.528229
-8.084682,16,25.570501
-1.644413,19,25.683537
-5.15728,35,25.994614
-3.034306,13,26.04929
-2.414932,15,26.122134
1.455928,11,26.206876
-1.120064,12,26.336165
-0.038391,11,26.407223
-2.496523,15,26.480042
-10.432218,16,26.522298
2.701673,18,26.566532
0.770508,19,26.665555
-2.173441,17,26.816421
10.899889,26,27.023195
-0.587868,10,27.156464
2.548757,17,27.482482
-2.573607,12,27.576074
-2.065473,10,27.72485
-1.839746,12,27.998911
-1.249065,26,28.186767
-5.371766,9,28.288269
-0.327046,16,28.379075
-4.957099,13,37.176381
-0.079238,28,37.453025
-4.628266,25,37.785581
0.850071,22,37.918315
3.743903,25,38.032471
-6.733973,12,38.100616
-0.909504,13,38.166476
-3.421932,25,38.282667
-1.320833,11,38.389696
-4.568501,7,38.462367
1.167106,14,38.587055
5.636131,27,38.747154
-4.325729,21,38.851844
2.278656,18,38.934364
-3.916224,11,39.002427
-1.575332,17,39.102919
-10.576951,18,39.205485
-7.86435,21,39.297177
2.108006,11,39.350956
-1.217341,13,39.428181
-0.447976,24,39.582216
1.687092,17,39.680053
0.116521,12,39.760505
1.240478,29,40.001009
2.222172,19,40.196427
0.403148,12,40.299652
-4.630964,8,40.344931
-5.176762,14,40.42819
-2.956509,9,40.475203
-4.185985,22,40.578619
2.185485,16,40.719043
-4.404729,15,40.794122
-3.468232,14,40.86602
-3.284268,9,40.915783
2.322668,20,41.026416
-4.49396,14,41.10129
-0.388408,18,41.20341
-2.61749,18,41.287485
3.434436,20,41.381224
-0.567561,24,41.512181
-6.802463,23,41.624134
-1.162162,11,41.673163
1.682798,17,41.750405
0.899198,19,41.849259
